Is_Head_of_Household_,Age,Race,Gender,Ethnicity,Disability,Educational_Level,Employment_Status,Household_Type,ZIP_Code,Service_Id,Date,Program,Housing_Type,City,State,Total_Benefit,Council_District,Monthly_Income,ObjectId
0,17,White,Female,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Two Parent Household,40208,1416716,2021/11/23 08:28:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,439.3,3,8676,15
0,6,White,Female,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Parent Female,40212,1291861,2021/09/09 08:56:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,678.07,5,0,16
1,53,African American,Female,Non-Hispanic,Disabled,Grades 9-12,Retired,Single Parent Female,40258,1308335,2021/09/22 12:55:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,14,8568,17
1,24,White,Female,Non-Hispanic,Not Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Parent Female,40212,1291861,2021/09/09 08:56:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,678.07,5,0,18
0,16,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40258,1308335,2021/09/22 12:55:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,14,8568,19
0,16,African American,Male,Non-Hispanic,Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40258,1308335,2021/09/22 12:55:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,14,8568,20
1,67,African American,Female,Non-Hispanic,Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Person,40211,1308533,2021/09/22 13:52:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,986.05,1,8448,21
1,68,African American,Female,Non-Hispanic,Disabled,High School Graduate,Retired,Multigenerational Household,40220,1278922,2021/08/30 09:55:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,695.16,26,27144,22
0,19,African American,Female,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Multigenerational Household,40220,1278922,2021/08/30 09:55:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,695.16,26,27144,23
1,63,African American,Female,Non-Hispanic,Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Person,40210,1331130,2021/10/11 14:18:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,402.73,3,9528,24
1,57,African American,Female,Non-Hispanic,Disabled,12 grade + Some Post-Secondary,Unemployed(Not in Labor Force),Single Person,40211,1429972,2021/12/01 14:35:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,129.22,5,11268,25
0,54,African American,Male,Hispanic,Not Disabled,12 grade + Some Post-Secondary,"Unemployed(Long - Term, more than 6 months)",Single Person,40211,1429972,2021/12/01 14:35:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,129.22,5,11268,26
1,56,African American,Female,Non-Hispanic,Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Person,40210,1434716,2021/12/03 11:59:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,204.62,6,8874,27
0,13,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Person,40210,1434716,2021/12/03 11:59:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,204.62,6,8874,28
1,66,African American,Female,Non-Hispanic,Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40212,1301275,2021/09/16 11:20:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,610.69,5,30.36,29
1,30,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,Employed Part-Time,Single Parent Female,40216,1214026,2021/07/23 15:32:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,883.2,12,0,30
0,11,African American,Male,Non-Hispanic,Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40216,1214026,2021/07/23 15:32:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,883.2,12,0,31
0,16,African American,Male,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40216,1214026,2021/07/23 15:32:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,883.2,12,0,32
0,8,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40216,1214026,2021/07/23 15:32:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,883.2,12,0,33
1,44,White,Female,Non-Hispanic,Not Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Parent Female,40215,1424980,2021/11/29 16:30:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,682.02,3,7932,34
1,57,African American,Female,Non-Hispanic,Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Person,40210,1253310,2021/08/12 15:20:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,445.53,3,9768,35
1,64,White,Female,Non-Hispanic,Not Disabled,Grades 9-12,Employed Full-Time,Single Parent Female,40219,1285952,2021/09/02 15:04:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,982.15,24,7526.4,36
0,20,White,Male,Non-Hispanic,Not Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Parent Female,40219,1285952,2021/09/02 15:04:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,982.15,24,7526.4,37
0,25,White,Male,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40219,1285952,2021/09/02 15:04:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,982.15,24,7526.4,38
1,39,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,Employed Part-Time,Single Parent Female,40272,1290973,2021/09/08 13:12:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,1000,25,5346,39
0,9,African American,Female,Non-Hispanic,Not Disabled,Pre-School,Unemployed(Not in Labor Force),Single Parent Female,40272,1290973,2021/09/08 13:12:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,1000,25,5346,40
0,17,African American,Female,Non-Hispanic,Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40272,1290973,2021/09/08 13:12:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,1000,25,5346,41
1,63,African American,Male,Non-Hispanic,Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Person,40214,1674538,2022/04/14 12:54:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,181.68,25,10128,42
1,80,African American,Female,Non-Hispanic,Disabled,High School Graduate,Retired,Single Person,40210,1309101,2021/09/22 15:46:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,152.07,1,14172,43
1,65,African American,Female,Non-Hispanic,Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Person,40215,1755134,2022/06/23 17:25:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,95.43,0,9000,44
1,49,African American,Female,Non-Hispanic,Disabled,Grades 9-12,Unemployed(Not in Labor Force),Two Adults No Children,40210,1464503,2021/12/24 12:25:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,456.14,1,6636,45
0,13,White,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40215,1424980,2021/11/29 16:30:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,682.02,3,7932,46
0,18,White,Female,Non-Hispanic,Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40215,1424980,2021/11/29 16:30:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,682.02,3,7932,47
0,68,African American,Female,Non-Hispanic,Disabled,Grades 9-12,Unemployed(Not in Labor Force),Two Adults No Children,40210,1464503,2021/12/24 12:25:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,456.14,1,6636,48
1,36,African American,Female,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Two Parent Household,40211,1453032,2021/12/13 09:14:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,5,0,49
0,20,African American,Female,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Two Parent Household,40211,1453032,2021/12/13 09:14:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,5,0,50
1,59,African American,Female,Non-Hispanic,Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Person,40211,1329209,2021/10/08 13:56:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,152.04,4,9528,51
1,54,African American,Male,Non-Hispanic,Disabled,2 or 4 years College,Unemployed(Not in Labor Force),Single Person,40210,1463890,2021/12/22 14:34:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,946.89,1,21420,52
1,32,African American,Female,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,Unemployed(Not in Labor Force),Single Parent Female,40212,1220519,2021/07/27 14:49:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,835.39,10,9528,53
0,9,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40212,1220519,2021/07/27 14:49:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,835.39,10,9528,54
0,11,African American,Male,Non-Hispanic,Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40212,1220519,2021/07/27 14:49:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,835.39,10,9528,55
1,50,African American,Female,Non-Hispanic,Disabled,2 or 4 years College,Unemployed(Not in Labor Force),Single Parent Female,40258,1338327,2021/10/14 15:32:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,481.57,1,22500,56
0,23,African American,Male,Non-Hispanic,Not Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Parent Female,40258,1338327,2021/10/14 15:32:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,481.57,1,22500,57
0,11,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40258,1338327,2021/10/14 15:32:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,481.57,1,22500,58
1,71,African American,Female,Non-Hispanic,Disabled,2 or 4 years College,Retired,Single Person,40299,1304631,2021/09/20 11:15:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,260.02,20,21636,59
1,30,African American,Female,Non-Hispanic,Disabled,Grades 9-12,"Unemployed(Long - Term, more than 6 months)",Single Parent Female,40211,1291824,2021/09/09 08:35:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,149.26,5,10584,60
0,10,African American,Female,Non-Hispanic,Not Disabled,Pre-School,Unemployed(Not in Labor Force),Single Parent Female,40211,1291824,2021/09/09 08:35:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,149.26,5,10584,61
0,6,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40211,1291824,2021/09/09 08:35:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,149.26,5,10584,62
1,59,White,Female,Hispanic,Disabled,High School Graduate,Unemployed(Not in Labor Force),Two Adults No Children,40214,1271436,2021/08/24 12:05:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,160.21,21,14448,63
0,61,White,Male,Non-Hispanic,Disabled,High School Graduate,Unemployed(Not in Labor Force),Two Adults No Children,40214,1271436,2021/08/24 12:05:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,160.21,21,14448,64
1,59,African American,Female,Non-Hispanic,Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Person,40211,1236408,2021/08/04 11:20:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,167.29,1,9768,65
0,61,African American,Male,Non-Hispanic,Disabled,Grades 9-12,Retired,Two Adults No Children,40258,1394277,2021/11/11 14:53:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,873.36,14,80982.72,66
1,66,African American,Female,Non-Hispanic,Disabled,Grades 9-12,"Unemployed(Long - Term, more than 6 months)",Single Person,40218,1284059,2021/09/01 15:15:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,43.07,2,9600,67
1,62,African American,Female,Non-Hispanic,Disabled,High School Graduate,Unemployed(Not in Labor Force),Two Adults No Children,40211,1290717,2021/09/08 11:48:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,426.46,5,9600,68
1,30,African American,Female,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40203,1410985,2021/11/19 10:00:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,374.85,4,9600,69
1,54,African American,Female,Non-Hispanic,Not Disabled,Grades 9-12,Employed Full-Time,Single Person,40212,1225222,2021/07/29 11:37:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,378.85,5,15123.36,70
0,6,African American,Male,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Parent Female,40214,1324821,2021/10/06 09:53:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,728.28,25,25200,71
1,45,African American,Female,Non-Hispanic,Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Person,40216,1324559,2021/10/06 08:31:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,1,9408,72
0,27,African American,Male,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Person,40216,1324559,2021/10/06 08:31:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,1,9408,73
0,21,African American,Female,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Person,40216,1324559,2021/10/06 08:31:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,1,9408,74
1,64,African American,Female,Non-Hispanic,Disabled,2 or 4 years College,Unemployed(Not in Labor Force),Single Person,40211,1497457,2022/01/18 13:28:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,463.54,5,0,75
1,37,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,"Unemployed(Long - Term, more than 6 months)",Single Person,40210,1242651,2021/08/06 14:34:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,4,9528,76
0,15,African American,Male,Non-Hispanic,Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Person,40210,1242651,2021/08/06 14:34:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,4,9528,77
0,17,African American,Male,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Person,40210,1242651,2021/08/06 14:34:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,4,9528,78
1,62,African American,Female,Non-Hispanic,Not Disabled,2 or 4 years College,Unemployed(Not in Labor Force),Single Parent Female,40207,1273544,2021/08/25 12:25:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,507.37,9,19056,79
0,21,African American,Female,Non-Hispanic,Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40207,1273544,2021/08/25 12:25:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,507.37,9,19056,80
0,26,African American,Female,Non-Hispanic,Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Parent Female,40207,1273544,2021/08/25 12:25:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,507.37,9,19056,81
1,73,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Person,40212,1268834,2021/08/23 11:09:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,262.84,5,12468,82
1,30,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Parent Female,40214,1313994,2021/09/27 14:51:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,457.12,12,9528,83
0,12,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40214,1313994,2021/09/27 14:51:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,457.12,12,9528,84
0,6,African American,Male,Non-Hispanic,Not Disabled,Pre-School,Unemployed(Not in Labor Force),Single Parent Female,40214,1313994,2021/09/27 14:51:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,457.12,12,9528,85
1,38,African American,Male,Non-Hispanic,Disabled,12 grade + Some Post-Secondary,"Unemployed(Long - Term, more than 6 months)",Single Parent Male,40216,1242080,2021/08/06 12:15:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,459.07,3,13384.8,86
0,6,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Male,40216,1242080,2021/08/06 12:15:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,459.07,3,13384.8,87
0,16,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Male,40216,1242080,2021/08/06 12:15:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,459.07,3,13384.8,88
0,17,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Male,40216,1242080,2021/08/06 12:15:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,459.07,3,13384.8,89
0,13,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Male,40216,1242080,2021/08/06 12:15:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,459.07,3,13384.8,90
1,64,African American,Female,Non-Hispanic,Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Person,40258,1466682,2021/12/29 10:13:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,124.25,14,9396,91
1,67,African American,Female,Non-Hispanic,Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Person,40211,1376981,2021/11/04 09:19:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,98.22,5,9768,92
1,54,African American,Female,Non-Hispanic,Disabled,12 grade + Some Post-Secondary,Retired,Single Person,40211,1207869,2021/07/21 15:35:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,426,1,15378,93
1,42,African American,Female,Non-Hispanic,Not Disabled,2 or 4 years College,"Unemployed(Short - Term, 6 months or less)",Single Parent Female,40211,1284675,2021/09/02 10:05:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,163.59,5,18576,94
0,18,African American,Male,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40211,1284675,2021/09/02 10:05:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,163.59,5,18576,95
0,24,African American,Female,Non-Hispanic,Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Parent Female,40211,1284675,2021/09/02 10:05:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,163.59,5,18576,96
0,15,African American,Male,Non-Hispanic,Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40211,1284675,2021/09/02 10:05:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,163.59,5,18576,97
0,15,White,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40272,1420442,2021/11/24 10:22:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,408.29,25,0,98
0,11,White,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40272,1420442,2021/11/24 10:22:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,408.29,25,0,99
1,37,African American,Female,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,"Unemployed(Long - Term, more than 6 months)",Single Parent Female,40220,1338947,2021/10/15 09:50:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,211.22,26,0,100
0,21,African American,Male,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40215,1287610,2021/09/03 14:32:00+00,ARP-Utilities 21,Rent/Non-Subsidized,Louisville,KY,387.69,15,23281.8,101
1,60,African American,Female,Non-Hispanic,Disabled,High School Graduate,Retired,Single Person,40203,1223507,2021/07/28 14:53:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,31.21,6,18816.12,102
0,6,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Person,40202,1258979,2021/08/17 10:19:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,569.99,4,42240,103
0,12,African American,Female,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Person,40202,1258979,2021/08/17 10:19:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,569.99,4,42240,104
1,39,African American,Female,Non-Hispanic,Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Parent Female,40212,1307221,2021/09/22 09:01:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,859.32,5,0,105
0,20,African American,Female,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40212,1307221,2021/09/22 09:01:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,859.32,5,0,106
0,12,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40212,1307221,2021/09/22 09:01:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,859.32,5,0,107
1,47,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,"Unemployed(Long - Term, more than 6 months)",Single Person,40216,1286726,2021/09/03 10:29:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,44.03,3,8568,108
1,59,African American,Female,Non-Hispanic,Disabled,Grades 9-12,"Unemployed(Short - Term, 6 months or less)",Single Person,40215,1311747,2021/09/24 11:28:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,171.2,3,9768,109
1,76,African American,Female,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Person,40211,1412836,2021/11/19 15:00:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,312.12,1,9528,110
1,62,African American,Female,Non-Hispanic,Disabled,2 or 4 years College,Retired,Single Person,40212,1465460,2021/12/28 09:19:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,381.43,5,14796,111
1,72,White,Female,Non-Hispanic,Disabled,High School Graduate,"Unemployed(Long - Term, more than 6 months)",Single Person,40299,1440834,2021/12/07 13:52:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,469.9,20,16800,112
1,68,African American,Male,Non-Hispanic,Disabled,High School Graduate,"Unemployed(Short - Term, 6 months or less)",Single Person,40210,1333084,2021/10/12 13:35:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,224,4,11244,113
