"Label (Grouping)","ZCTA5 40218!!Total!!Estimate","ZCTA5 40218!!Total!!Margin of Error","ZCTA5 40218!!Percent!!Estimate","ZCTA5 40218!!Percent!!Margin of Error","ZCTA5 40218!!Male!!Estimate","ZCTA5 40218!!Male!!Margin of Error","ZCTA5 40218!!Percent Male!!Estimate","ZCTA5 40218!!Percent Male!!Margin of Error","ZCTA5 40218!!Female!!Estimate","ZCTA5 40218!!Female!!Margin of Error","ZCTA5 40218!!Percent Female!!Estimate","ZCTA5 40218!!Percent Female!!Margin of Error"
"    Population 25 to 34 years","5,823","±748","(X)","(X)","2,915","±540","(X)","(X)","2,908","±453","(X)","(X)"
"        High school graduate or higher","5,225","±719","89.7%","±4.0","2,772","±524","95.1%","±3.8","2,453","±420","84.4%","±6.2"
"        Bachelor's degree or higher","1,994","±440","34.2%","±6.0","1,045","±361","35.8%","±9.0","949","±276","32.6%","±7.7"
"    Population 35 to 44 years","4,528","±754","(X)","(X)","2,322","±499","(X)","(X)","2,206","±439","(X)","(X)"
"        High school graduate or higher","3,875","±696","85.6%","±5.5","1,912","±405","82.3%","±11.2","1,963","±430","89.0%","±6.9"
"        Bachelor's degree or higher","1,381","±400","30.5%","±6.6","474","±195","20.4%","±8.0","907","±320","41.1%","±10.5"
"    Population 45 to 64 years","7,119","±727","(X)","(X)","3,289","±492","(X)","(X)","3,830","±481","(X)","(X)"
"        High school graduate or higher","6,665","±697","93.6%","±2.4","3,097","±478","94.2%","±2.8","3,568","±433","93.2%","±3.2"
"        Bachelor's degree or higher","2,185","±418","30.7%","±5.6","886","±259","26.9%","±7.0","1,299","±278","33.9%","±7.2"
"    Population 65 years and over","4,338","±477","(X)","(X)","1,788","±290","(X)","(X)","2,550","±356","(X)","(X)"
"        High school graduate or higher","3,570","±499","82.3%","±5.1","1,464","±290","81.9%","±6.7","2,106","±329","82.6%","±6.3"
"        Bachelor's degree or higher","687","±232","15.8%","±4.8","333","±123","18.6%","±6.4","354","±137","13.9%","±5.1"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","10,830","±1,145","(X)","(X)","5,275","±680","(X)","(X)","5,555","±641","(X)","(X)"
"        High school graduate or higher","10,000","±1,037","92.3%","±2.4","4,827","±649","91.5%","±3.6","5,173","±585","93.1%","±2.8"
"        Bachelor's degree or higher","3,244","±539","30.0%","±4.3","1,391","±331","26.4%","±5.8","1,853","±376","33.4%","±5.6"
"    White alone, not Hispanic or Latino","10,283","±1,159","(X)","(X)","4,953","±692","(X)","(X)","5,330","±632","(X)","(X)"
"        High school graduate or higher","9,523","±1,052","92.6%","±2.5","4,555","±660","92.0%","±3.8","4,968","±579","93.2%","±2.9"
"        Bachelor's degree or higher","3,153","±544","30.7%","±4.5","1,353","±336","27.3%","±6.1","1,800","±368","33.8%","±5.7"
"    Black alone","7,012","±904","(X)","(X)","3,282","±594","(X)","(X)","3,730","±472","(X)","(X)"
"        High school graduate or higher","6,244","±769","89.0%","±3.9","2,905","±474","88.5%","±6.8","3,339","±481","89.5%","±5.5"
"        Bachelor's degree or higher","1,902","±393","27.1%","±5.3","871","±256","26.5%","±7.3","1,031","±248","27.6%","±6.1"
"    American Indian or Alaska Native alone","2","±5","(X)","(X)","1","±2","(X)","(X)","1","±4","(X)","(X)"
"        High school graduate or higher","0","±27","0.0%","±100.0","0","±27","0.0%","±100.0","0","±27","0.0%","±100.0"
"        Bachelor's degree or higher","0","±27","0.0%","±100.0","0","±27","0.0%","±100.0","0","±27","0.0%","±100.0"
"    Asian alone","862","±275","(X)","(X)","396","±180","(X)","(X)","466","±177","(X)","(X)"
"        High school graduate or higher","637","±266","73.9%","±12.3","294","±173","74.2%","±15.6","343","±167","73.6%","±14.6"
"        Bachelor's degree or higher","259","±113","30.0%","±11.3","134","±70","33.8%","±20.5","125","±66","26.8%","±12.2"
"    Native Hawaiian and Other Pacific Islander alone","0","±27","(X)","(X)","0","±27","(X)","(X)","0","±27","(X)","(X)"
"        High school graduate or higher","0","±27","-","**","0","±27","-","**","0","±27","-","**"
"        Bachelor's degree or higher","0","±27","-","**","0","±27","-","**","0","±27","-","**"
"    Some other race alone","510","±315","(X)","(X)","391","±232","(X)","(X)","119","±130","(X)","(X)"
"        High school graduate or higher","495","±316","97.1%","±5.1","376","±234","96.2%","±6.7","119","±130","100.0%","±26.5"
"        Bachelor's degree or higher","134","±130","26.3%","±29.1","134","±130","34.3%","±33.2","0","±27","0.0%","±26.5"
"    Two or more races","2,592","±552","(X)","(X)","969","±284","(X)","(X)","1,623","±412","(X)","(X)"
"        High school graduate or higher","1,959","±456","75.6%","±9.4","843","±267","87.0%","±9.0","1,116","±345","68.8%","±12.3"
"        Bachelor's degree or higher","708","±255","27.3%","±8.2","208","±121","21.5%","±12.9","500","±241","30.8%","±11.7"
"    Hispanic or Latino Origin","2,985","±649","(X)","(X)","1,473","±379","(X)","(X)","1,512","±427","(X)","(X)"
"        High school graduate or higher","2,326","±535","77.9%","±8.9","1,293","±365","87.8%","±7.6","1,033","±315","68.3%","±12.0"
"        Bachelor's degree or higher","707","±270","23.7%","±8.7","352","±171","23.9%","±11.8","355","±209","23.5%","±12.1"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","30.8%","±9.1","(X)","(X)","24.9%","±11.8","(X)","(X)","35.4%","±12.4"
"    High school graduate (includes equivalency)","(X)","(X)","11.1%","±3.2","(X)","(X)","7.8%","±3.6","(X)","(X)","15.3%","±6.1"
"    Some college or associate's degree","(X)","(X)","9.6%","±3.2","(X)","(X)","6.7%","±4.8","(X)","(X)","11.7%","±4.2"
"    Bachelor's degree or higher","(X)","(X)","6.6%","±3.5","(X)","(X)","8.2%","±5.6","(X)","(X)","5.3%","±4.1"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","39,297","±3,456","(X)","(X)","42,258","±6,810","(X)","(X)","34,270","±5,793","(X)","(X)"
"        Less than high school graduate","28,344","±2,519","(X)","(X)","29,502","±11,836","(X)","(X)","24,929","±11,077","(X)","(X)"
"        High school graduate (includes equivalency)","36,241","±2,544","(X)","(X)","38,723","±3,353","(X)","(X)","27,500","±3,401","(X)","(X)"
"        Some college or associate's degree","39,688","±4,745","(X)","(X)","53,625","±6,191","(X)","(X)","32,396","±7,254","(X)","(X)"
"        Bachelor's degree","42,301","±9,655","(X)","(X)","42,322","±18,054","(X)","(X)","41,875","±16,419","(X)","(X)"
"        Graduate or professional degree","68,145","±8,490","(X)","(X)","74,943","±14,864","(X)","(X)","65,840","±8,141","(X)","(X)"
