"Label (Grouping)","ZCTA5 40242!!Total!!Estimate","ZCTA5 40242!!Total!!Margin of Error","ZCTA5 40242!!Percent!!Estimate","ZCTA5 40242!!Percent!!Margin of Error","ZCTA5 40242!!Male!!Estimate","ZCTA5 40242!!Male!!Margin of Error","ZCTA5 40242!!Percent Male!!Estimate","ZCTA5 40242!!Percent Male!!Margin of Error","ZCTA5 40242!!Female!!Estimate","ZCTA5 40242!!Female!!Margin of Error","ZCTA5 40242!!Percent Female!!Estimate","ZCTA5 40242!!Percent Female!!Margin of Error"
"        Bachelor's degree or higher","45","±25","39.5%","±21.4","16","±11","27.1%","±25.9","29","±22","52.7%","±23.5"
"    Two or more races","270","±101","(X)","(X)","134","±59","(X)","(X)","136","±75","(X)","(X)"
"        High school graduate or higher","258","±101","95.6%","±5.3","123","±58","91.8%","±9.9","135","±75","99.3%","±1.6"
"        Bachelor's degree or higher","98","±61","36.3%","±14.7","29","±22","21.6%","±14.6","69","±57","50.7%","±21.9"
"    Hispanic or Latino Origin","137","±60","(X)","(X)","91","±43","(X)","(X)","46","±25","(X)","(X)"
"        High school graduate or higher","130","±58","94.9%","±8.0","84","±41","92.3%","±11.8","46","±25","100.0%","±47.0"
"        Bachelor's degree or higher","49","±25","35.8%","±15.6","31","±21","34.1%","±20.9","18","±14","39.1%","±25.0"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","7.5%","±5.9","(X)","(X)","8.7%","±9.2","(X)","(X)","6.0%","±5.5"
"    High school graduate (includes equivalency)","(X)","(X)","5.9%","±3.0","(X)","(X)","6.1%","±4.5","(X)","(X)","5.7%","±3.6"
"    Some college or associate's degree","(X)","(X)","10.9%","±5.6","(X)","(X)","6.0%","±3.8","(X)","(X)","15.1%","±9.7"
"    Bachelor's degree or higher","(X)","(X)","3.4%","±1.9","(X)","(X)","2.1%","±1.3","(X)","(X)","4.4%","±3.3"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","50,334","±4,283","(X)","(X)","57,577","±6,040","(X)","(X)","42,242","±4,850","(X)","(X)"
"        Less than high school graduate","38,049","±11,337","(X)","(X)","40,391","±3,956","(X)","(X)","20,531","±11,069","(X)","(X)"
"        High school graduate (includes equivalency)","33,445","±2,404","(X)","(X)","33,917","±20,130","(X)","(X)","33,384","±1,889","(X)","(X)"
"        Some college or associate's degree","43,438","±6,474","(X)","(X)","54,453","±9,560","(X)","(X)","31,908","±6,091","(X)","(X)"
"        Bachelor's degree","57,986","±18,183","(X)","(X)","71,842","±15,931","(X)","(X)","51,301","±11,096","(X)","(X)"
"        Graduate or professional degree","83,147","±13,418","(X)","(X)","86,705","±16,404","(X)","(X)","80,192","±16,696","(X)","(X)"
