"Label (Grouping)","ZCTA5 40206!!Total!!Estimate","ZCTA5 40206!!Total!!Margin of Error","ZCTA5 40206!!Percent!!Estimate","ZCTA5 40206!!Percent!!Margin of Error","ZCTA5 40206!!Male!!Estimate","ZCTA5 40206!!Male!!Margin of Error","ZCTA5 40206!!Percent Male!!Estimate","ZCTA5 40206!!Percent Male!!Margin of Error","ZCTA5 40206!!Female!!Estimate","ZCTA5 40206!!Female!!Margin of Error","ZCTA5 40206!!Percent Female!!Estimate","ZCTA5 40206!!Percent Female!!Margin of Error"
"        Bachelor's degree or higher","2,111","±399","68.4%","±7.8","977","±220","62.4%","±10.5","1,134","±264","74.6%","±8.7"
"    Population 45 to 64 years","5,054","±528","(X)","(X)","2,474","±359","(X)","(X)","2,580","±327","(X)","(X)"
"        High school graduate or higher","4,654","±449","92.1%","±4.6","2,220","±300","89.7%","±5.6","2,434","±298","94.3%","±4.5"
"        Bachelor's degree or higher","2,492","±348","49.3%","±5.9","1,206","±231","48.7%","±7.4","1,286","±197","49.8%","±7.3"
"    Population 65 years and over","3,347","±380","(X)","(X)","1,676","±294","(X)","(X)","1,671","±206","(X)","(X)"
"        High school graduate or higher","3,126","±367","93.4%","±3.4","1,595","±284","95.2%","±4.1","1,531","±201","91.6%","±3.8"
"        Bachelor's degree or higher","1,315","±205","39.3%","±5.7","634","±142","37.8%","±8.5","681","±118","40.8%","±6.4"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","12,639","±760","(X)","(X)","6,322","±447","(X)","(X)","6,317","±475","(X)","(X)"
"        High school graduate or higher","12,065","±717","95.5%","±2.1","5,994","±442","94.8%","±2.5","6,071","±451","96.1%","±2.0"
"        Bachelor's degree or higher","7,238","±600","57.3%","±3.5","3,289","±386","52.0%","±5.2","3,949","±395","62.5%","±4.0"
"    White alone, not Hispanic or Latino","12,566","±759","(X)","(X)","6,280","±449","(X)","(X)","6,286","±478","(X)","(X)"
"        High school graduate or higher","12,002","±715","95.5%","±2.1","5,962","±443","94.9%","±2.5","6,040","±453","96.1%","±2.0"
"        Bachelor's degree or higher","7,193","±595","57.2%","±3.5","3,267","±385","52.0%","±5.2","3,926","±396","62.5%","±4.0"
"    Black alone","1,601","±365","(X)","(X)","835","±240","(X)","(X)","766","±261","(X)","(X)"
"        High school graduate or higher","1,460","±365","91.2%","±7.0","739","±215","88.5%","±12.1","721","±274","94.1%","±6.4"
"        Bachelor's degree or higher","489","±168","30.5%","±10.4","265","±131","31.7%","±15.2","224","±112","29.2%","±14.9"
"    American Indian or Alaska Native alone","40","±29","(X)","(X)","17","±20","(X)","(X)","23","±23","(X)","(X)"
"        High school graduate or higher","30","±26","75.0%","±35.4","7","±12","41.2%","±58.8","23","±23","100.0%","±66.4"
"        Bachelor's degree or higher","16","±26","40.0%","±58.7","0","±24","0.0%","±77.3","16","±26","69.6%","±65.8"
"    Asian alone","548","±215","(X)","(X)","165","±79","(X)","(X)","383","±180","(X)","(X)"
"        High school graduate or higher","548","±215","100.0%","±6.6","165","±79","100.0%","±20.2","383","±180","100.0%","±9.3"
"        Bachelor's degree or higher","510","±211","93.1%","±8.0","152","±78","92.1%","±10.9","358","±174","93.5%","±9.8"
"    Native Hawaiian and Other Pacific Islander alone","0","±24","(X)","(X)","0","±24","(X)","(X)","0","±24","(X)","(X)"
"        High school graduate or higher","0","±24","-","**","0","±24","-","**","0","±24","-","**"
"        Bachelor's degree or higher","0","±24","-","**","0","±24","-","**","0","±24","-","**"
"    Some other race alone","117","±73","(X)","(X)","99","±69","(X)","(X)","18","±23","(X)","(X)"
"        High school graduate or higher","117","±73","100.0%","±26.9","99","±69","100.0%","±30.5","18","±23","100.0%","±75.1"
"        Bachelor's degree or higher","75","±55","64.1%","±27.8","67","±53","67.7%","±31.8","8","±14","44.4%","±55.6"
"    Two or more races","799","±262","(X)","(X)","424","±195","(X)","(X)","375","±145","(X)","(X)"
"        High school graduate or higher","682","±233","85.4%","±12.9","368","±179","86.8%","±13.8","314","±137","83.7%","±16.5"
"        Bachelor's degree or higher","362","±172","45.3%","±13.8","170","±124","40.1%","±19.1","192","±120","51.2%","±22.0"
"    Hispanic or Latino Origin","548","±204","(X)","(X)","289","±132","(X)","(X)","259","±145","(X)","(X)"
"        High school graduate or higher","449","±192","81.9%","±17.4","217","±122","75.1%","±21.4","232","±140","89.6%","±18.0"
"        Bachelor's degree or higher","321","±161","58.6%","±16.4","160","±108","55.4%","±22.6","161","±120","62.2%","±24.8"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","23.9%","±16.2","(X)","(X)","25.3%","±16.6","(X)","(X)","21.5%","±21.8"
"    High school graduate (includes equivalency)","(X)","(X)","13.2%","±5.9","(X)","(X)","21.0%","±10.1","(X)","(X)","4.4%","±3.7"
"    Some college or associate's degree","(X)","(X)","12.0%","±3.5","(X)","(X)","13.2%","±5.4","(X)","(X)","10.5%","±4.6"
"    Bachelor's degree or higher","(X)","(X)","4.2%","±1.4","(X)","(X)","2.6%","±1.6","(X)","(X)","5.4%","±2.1"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","55,262","±4,814","(X)","(X)","59,787","±2,542","(X)","(X)","47,952","±4,600","(X)","(X)"
"        Less than high school graduate","23,409","±10,431","(X)","(X)","-","**","(X)","(X)","27,813","±11,567","(X)","(X)"
"        High school graduate (includes equivalency)","40,122","±14,715","(X)","(X)","41,563","±28,219","(X)","(X)","36,392","±13,273","(X)","(X)"
"        Some college or associate's degree","39,958","±6,866","(X)","(X)","45,561","±6,371","(X)","(X)","33,438","±9,079","(X)","(X)"
"        Bachelor's degree","60,299","±3,391","(X)","(X)","73,842","±9,571","(X)","(X)","49,906","±11,678","(X)","(X)"
"        Graduate or professional degree","72,643","±8,838","(X)","(X)","82,054","±25,717","(X)","(X)","67,500","±15,936","(X)","(X)"
