"Label (Grouping)","ZCTA5 40209!!Total!!Estimate","ZCTA5 40209!!Total!!Margin of Error","ZCTA5 40209!!Percent!!Estimate","ZCTA5 40209!!Percent!!Margin of Error","ZCTA5 40209!!Male!!Estimate","ZCTA5 40209!!Male!!Margin of Error","ZCTA5 40209!!Percent Male!!Estimate","ZCTA5 40209!!Percent Male!!Margin of Error","ZCTA5 40209!!Female!!Estimate","ZCTA5 40209!!Female!!Margin of Error","ZCTA5 40209!!Percent Female!!Estimate","ZCTA5 40209!!Percent Female!!Margin of Error"
"        High school graduate or higher","274","±169","67.0%","±16.5","94","±61","65.3%","±35.9","180","±157","67.9%","±17.7"
"        Bachelor's degree or higher","23","±37","5.6%","±9.1","23","±37","16.0%","±24.7","0","±13","0.0%","±13.2"
"    Population 25 to 34 years","42","±52","(X)","(X)","4","±11","(X)","(X)","38","±51","(X)","(X)"
"        High school graduate or higher","38","±51","90.5%","±46.3","0","±13","0.0%","±100.0","38","±51","100.0%","±51.7"
"        Bachelor's degree or higher","0","±13","0.0%","±49.2","0","±13","0.0%","±100.0","0","±13","0.0%","±51.7"
"    Population 35 to 44 years","184","±225","(X)","(X)","14","±23","(X)","(X)","170","±222","(X)","(X)"
"        High school graduate or higher","129","±149","70.1%","±18.1","14","±23","100.0%","±85.1","115","±144","67.6%","±16.7"
"        Bachelor's degree or higher","0","±13","0.0%","±18.3","0","±13","0.0%","±85.1","0","±13","0.0%","±19.7"
"    Population 45 to 64 years","165","±102","(X)","(X)","108","±68","(X)","(X)","57","±48","(X)","(X)"
"        High school graduate or higher","89","±62","53.9%","±29.3","62","±47","57.4%","±42.9","27","±28","47.4%","±41.5"
"        Bachelor's degree or higher","23","±37","13.9%","±18.0","23","±37","21.3%","±31.1","0","±13","0.0%","±42.2"
"    Population 65 years and over","18","±25","(X)","(X)","18","±25","(X)","(X)","0","±13","(X)","(X)"
"        High school graduate or higher","18","±25","100.0%","±75.1","18","±25","100.0%","±75.1","0","±13","-","**"
"        Bachelor's degree or higher","0","±13","0.0%","±75.1","0","±13","0.0%","±75.1","0","±13","-","**"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","261","±175","(X)","(X)","108","±84","(X)","(X)","153","±143","(X)","(X)"
"        High school graduate or higher","204","±155","78.2%","±25.1","58","±44","53.7%","±38.3","146","±144","95.4%","±12.7"
"        Bachelor's degree or higher","0","±13","0.0%","±13.4","0","±13","0.0%","±28.6","0","±13","0.0%","±21.5"
"    White alone, not Hispanic or Latino","233","±171","(X)","(X)","94","±83","(X)","(X)","139","±142","(X)","(X)"
"        High school graduate or higher","176","±149","75.5%","±27.7","44","±39","46.8%","±39.2","132","±143","95.0%","±14.5"
"        Bachelor's degree or higher","0","±13","0.0%","±14.8","0","±13","0.0%","±31.7","0","±13","0.0%","±23.3"
"    Black alone","13","±21","(X)","(X)","13","±21","(X)","(X)","0","±13","(X)","(X)"
"        High school graduate or higher","13","±21","100.0%","±88.4","13","±21","100.0%","±88.4","0","±13","-","**"
"        Bachelor's degree or higher","0","±13","0.0%","±88.4","0","±13","0.0%","±88.4","0","±13","-","**"
"    American Indian or Alaska Native alone","0","±13","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)"
"        High school graduate or higher","0","±13","-","**","0","±13","-","**","0","±13","-","**"
"        Bachelor's degree or higher","0","±13","-","**","0","±13","-","**","0","±13","-","**"
"    Asian alone","0","±13","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)"
"        High school graduate or higher","0","±13","-","**","0","±13","-","**","0","±13","-","**"
"        Bachelor's degree or higher","0","±13","-","**","0","±13","-","**","0","±13","-","**"
"    Native Hawaiian and Other Pacific Islander alone","0","±13","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)"
"        High school graduate or higher","0","±13","-","**","0","±13","-","**","0","±13","-","**"
"        Bachelor's degree or higher","0","±13","-","**","0","±13","-","**","0","±13","-","**"
"    Some other race alone","0","±13","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)"
"        High school graduate or higher","0","±13","-","**","0","±13","-","**","0","±13","-","**"
"        Bachelor's degree or higher","0","±13","-","**","0","±13","-","**","0","±13","-","**"
"    Two or more races","135","±115","(X)","(X)","23","±37","(X)","(X)","112","±98","(X)","(X)"
"        High school graduate or higher","57","±62","42.2%","±38.5","23","±37","100.0%","±66.4","34","±52","30.4%","±45.5"
"        Bachelor's degree or higher","23","±37","17.0%","±22.3","23","±37","100.0%","±66.4","0","±13","0.0%","±27.8"
"    Hispanic or Latino Origin","74","±89","(X)","(X)","37","±47","(X)","(X)","37","±43","(X)","(X)"
"        High school graduate or higher","51","±62","68.9%","±23.1","37","±47","100.0%","±52.4","14","±21","37.8%","±45.1"
"        Bachelor's degree or higher","23","±37","31.1%","±23.1","23","±37","62.2%","±44.5","0","±13","0.0%","±52.4"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","0.0%","±23.9","(X)","(X)","0.0%","±45.1","(X)","(X)","0.0%","±33.9"
"    High school graduate (includes equivalency)","(X)","(X)","41.9%","±35.7","(X)","(X)","22.0%","±34.2","(X)","(X)","60.0%","±42.7"
"    Some college or associate's degree","(X)","(X)","22.4%","±34.2","(X)","(X)","83.3%","±29.7","(X)","(X)","8.9%","±20.9"
"    Bachelor's degree or higher","(X)","(X)","0.0%","±66.4","(X)","(X)","0.0%","±66.4","(X)","(X)","-","**"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","40,479","±4,246","(X)","(X)","40,769","±6,071","(X)","(X)","40,351","±5,619","(X)","(X)"
"        Less than high school graduate","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)"
"        High school graduate (includes equivalency)","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)"
"        Some college or associate's degree","-","**","(X)","(X)","-","**","(X)","(X)","41,559","±40,203","(X)","(X)"
"        Bachelor's degree","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)"
"        Graduate or professional degree","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)"
