"Label (Grouping)","ZCTA5 40272!!Total!!Estimate","ZCTA5 40272!!Total!!Margin of Error","ZCTA5 40272!!Percent!!Estimate","ZCTA5 40272!!Percent!!Margin of Error","ZCTA5 40272!!Male!!Estimate","ZCTA5 40272!!Male!!Margin of Error","ZCTA5 40272!!Percent Male!!Estimate","ZCTA5 40272!!Percent Male!!Margin of Error","ZCTA5 40272!!Female!!Estimate","ZCTA5 40272!!Female!!Margin of Error","ZCTA5 40272!!Percent Female!!Estimate","ZCTA5 40272!!Percent Female!!Margin of Error"
"    High school graduate (includes equivalency)","(X)","(X)","14.2%","±3.0","(X)","(X)","7.8%","±2.9","(X)","(X)","21.0%","±4.8"
"    Some college or associate's degree","(X)","(X)","8.0%","±2.4","(X)","(X)","3.3%","±1.8","(X)","(X)","11.6%","±4.0"
"    Bachelor's degree or higher","(X)","(X)","3.7%","±2.3","(X)","(X)","4.2%","±4.2","(X)","(X)","3.3%","±2.3"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","41,549","±2,294","(X)","(X)","44,767","±4,245","(X)","(X)","37,709","±2,272","(X)","(X)"
"        Less than high school graduate","29,605","±8,290","(X)","(X)","35,900","±19,004","(X)","(X)","26,143","±5,727","(X)","(X)"
"        High school graduate (includes equivalency)","38,015","±3,530","(X)","(X)","41,271","±3,251","(X)","(X)","35,462","±6,293","(X)","(X)"
"        Some college or associate's degree","42,297","±2,978","(X)","(X)","50,929","±9,629","(X)","(X)","36,544","±4,718","(X)","(X)"
"        Bachelor's degree","60,634","±7,055","(X)","(X)","62,411","±6,144","(X)","(X)","48,705","±13,821","(X)","(X)"
"        Graduate or professional degree","49,024","±26,705","(X)","(X)","48,173","±45,187","(X)","(X)","49,420","±24,183","(X)","(X)"
