"Label (Grouping)","ZCTA5 40215!!Total!!Estimate","ZCTA5 40215!!Total!!Margin of Error","ZCTA5 40215!!Percent!!Estimate","ZCTA5 40215!!Percent!!Margin of Error","ZCTA5 40215!!Male!!Estimate","ZCTA5 40215!!Male!!Margin of Error","ZCTA5 40215!!Percent Male!!Estimate","ZCTA5 40215!!Percent Male!!Margin of Error","ZCTA5 40215!!Female!!Estimate","ZCTA5 40215!!Female!!Margin of Error","ZCTA5 40215!!Percent Female!!Estimate","ZCTA5 40215!!Percent Female!!Margin of Error"
"    American Indian or Alaska Native alone","21","±25","(X)","(X)","7","±12","(X)","(X)","14","±21","(X)","(X)"
"        High school graduate or higher","21","±25","100.0%","±69.5","7","±12","100.0%","±100.0","14","±21","100.0%","±85.1"
"        Bachelor's degree or higher","14","±21","66.7%","±55.4","0","±20","0.0%","±100.0","14","±21","100.0%","±85.1"
"    Asian alone","258","±158","(X)","(X)","88","±75","(X)","(X)","170","±102","(X)","(X)"
"        High school graduate or higher","96","±71","37.2%","±23.5","34","±41","38.6%","±35.8","62","±52","36.5%","±27.7"
"        Bachelor's degree or higher","9","±15","3.5%","±6.1","0","±20","0.0%","±33.2","9","±15","5.3%","±10.0"
"    Native Hawaiian and Other Pacific Islander alone","0","±20","(X)","(X)","0","±20","(X)","(X)","0","±20","(X)","(X)"
"        High school graduate or higher","0","±20","-","**","0","±20","-","**","0","±20","-","**"
"        Bachelor's degree or higher","0","±20","-","**","0","±20","-","**","0","±20","-","**"
"    Some other race alone","140","±100","(X)","(X)","58","±46","(X)","(X)","82","±73","(X)","(X)"
"        High school graduate or higher","83","±87","59.3%","±30.2","35","±39","60.3%","±36.9","48","±70","58.5%","±48.6"
"        Bachelor's degree or higher","4","±6","2.9%","±4.5","4","±6","6.9%","±10.9","0","±20","0.0%","±34.7"
"    Two or more races","1,145","±427","(X)","(X)","528","±219","(X)","(X)","617","±255","(X)","(X)"
"        High school graduate or higher","1,032","±369","90.1%","±7.0","461","±189","87.3%","±10.9","571","±232","92.5%","±6.6"
"        Bachelor's degree or higher","223","±151","19.5%","±11.2","34","±35","6.4%","±7.0","189","±151","30.6%","±18.8"
"    Hispanic or Latino Origin","729","±327","(X)","(X)","364","±172","(X)","(X)","365","±180","(X)","(X)"
"        High school graduate or higher","528","±274","72.4%","±12.6","285","±148","78.3%","±12.3","243","±157","66.6%","±20.2"
"        Bachelor's degree or higher","124","±95","17.0%","±13.8","51","±47","14.0%","±13.6","73","±62","20.0%","±17.2"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","27.8%","±9.9","(X)","(X)","14.8%","±8.2","(X)","(X)","38.8%","±14.0"
"    High school graduate (includes equivalency)","(X)","(X)","24.7%","±6.6","(X)","(X)","23.7%","±9.8","(X)","(X)","25.9%","±8.2"
"    Some college or associate's degree","(X)","(X)","17.7%","±5.3","(X)","(X)","12.4%","±6.9","(X)","(X)","22.8%","±7.3"
"    Bachelor's degree or higher","(X)","(X)","12.5%","±4.9","(X)","(X)","12.4%","±7.4","(X)","(X)","12.6%","±5.5"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","34,186","±2,677","(X)","(X)","35,668","±3,815","(X)","(X)","32,072","±4,581","(X)","(X)"
"        Less than high school graduate","28,973","±5,877","(X)","(X)","28,494","±9,928","(X)","(X)","29,342","±18,688","(X)","(X)"
"        High school graduate (includes equivalency)","30,468","±3,768","(X)","(X)","31,575","±3,817","(X)","(X)","27,163","±4,654","(X)","(X)"
"        Some college or associate's degree","37,906","±5,359","(X)","(X)","41,365","±7,460","(X)","(X)","35,900","±5,841","(X)","(X)"
"        Bachelor's degree","35,761","±12,243","(X)","(X)","50,924","±2,063","(X)","(X)","22,328","±7,329","(X)","(X)"
"        Graduate or professional degree","60,663","±2,493","(X)","(X)","62,163","±6,691","(X)","(X)","59,104","±3,213","(X)","(X)"
