"Label (Grouping)","ZCTA5 40202!!Total!!Estimate","ZCTA5 40202!!Total!!Margin of Error","ZCTA5 40202!!Percent!!Estimate","ZCTA5 40202!!Percent!!Margin of Error","ZCTA5 40202!!Male!!Estimate","ZCTA5 40202!!Male!!Margin of Error","ZCTA5 40202!!Percent Male!!Estimate","ZCTA5 40202!!Percent Male!!Margin of Error","ZCTA5 40202!!Female!!Estimate","ZCTA5 40202!!Female!!Margin of Error","ZCTA5 40202!!Percent Female!!Estimate","ZCTA5 40202!!Percent Female!!Margin of Error"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","3,126","±452","(X)","(X)","2,059","±321","(X)","(X)","1,067","±312","(X)","(X)"
"        High school graduate or higher","2,712","±422","86.8%","±5.0","1,778","±301","86.4%","±4.4","934","±309","87.5%","±10.6"
"        Bachelor's degree or higher","964","±264","30.8%","±7.1","568","±156","27.6%","±6.8","396","±193","37.1%","±12.6"
"    White alone, not Hispanic or Latino","3,057","±425","(X)","(X)","2,046","±321","(X)","(X)","1,011","±281","(X)","(X)"
"        High school graduate or higher","2,643","±398","86.5%","±5.1","1,765","±301","86.3%","±4.5","878","±279","86.8%","±11.2"
"        Bachelor's degree or higher","900","±224","29.4%","±6.6","555","±155","27.1%","±6.8","345","±147","34.1%","±10.8"
"    Black alone","2,259","±467","(X)","(X)","1,328","±390","(X)","(X)","931","±247","(X)","(X)"
"        High school graduate or higher","1,764","±460","78.1%","±7.8","934","±362","70.3%","±13.2","830","±233","89.2%","±8.2"
"        Bachelor's degree or higher","384","±234","17.0%","±8.7","126","±101","9.5%","±6.8","258","±213","27.7%","±18.2"
"    American Indian or Alaska Native alone","27","±29","(X)","(X)","17","±24","(X)","(X)","10","±17","(X)","(X)"
"        High school graduate or higher","8","±16","29.6%","±55.4","8","±16","47.1%","±52.9","0","±18","0.0%","±100.0"
"        Bachelor's degree or higher","0","±18","0.0%","±61.3","0","±18","0.0%","±77.3","0","±18","0.0%","±100.0"
"    Asian alone","229","±123","(X)","(X)","95","±82","(X)","(X)","134","±98","(X)","(X)"
"        High school graduate or higher","212","±120","92.6%","±11.3","78","±77","82.1%","±25.6","134","±98","100.0%","±24.1"
"        Bachelor's degree or higher","176","±115","76.9%","±23.2","78","±77","82.1%","±25.6","98","±90","73.1%","±32.5"
"    Native Hawaiian and Other Pacific Islander alone","24","±31","(X)","(X)","18","±29","(X)","(X)","6","±9","(X)","(X)"
"        High school graduate or higher","24","±31","100.0%","±65.0","18","±29","100.0%","±75.1","6","±9","100.0%","±100.0"
"        Bachelor's degree or higher","18","±29","75.0%","±42.2","18","±29","100.0%","±75.1","0","±18","0.0%","±100.0"
"    Some other race alone","167","±128","(X)","(X)","128","±122","(X)","(X)","39","±50","(X)","(X)"
"        High school graduate or higher","152","±127","91.0%","±14.6","113","±121","88.3%","±20.5","39","±50","100.0%","±51.0"
"        Bachelor's degree or higher","120","±113","71.9%","±25.0","81","±108","63.3%","±36.7","39","±50","100.0%","±51.0"
"    Two or more races","347","±219","(X)","(X)","232","±209","(X)","(X)","115","±75","(X)","(X)"
"        High school graduate or higher","251","±147","72.3%","±14.3","160","±132","69.0%","±15.5","91","±70","79.1%","±23.5"
"        Bachelor's degree or higher","0","±18","0.0%","±10.2","0","±18","0.0%","±14.9","0","±18","0.0%","±27.2"
"    Hispanic or Latino Origin","351","±243","(X)","(X)","221","±211","(X)","(X)","130","±95","(X)","(X)"
"        High school graduate or higher","296","±174","84.3%","±15.9","166","±133","75.1%","±18.9","130","±95","100.0%","±24.7"
"        Bachelor's degree or higher","136","±106","38.7%","±29.2","46","±45","20.8%","±30.2","90","±89","69.2%","±30.9"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","57.5%","±25.6","(X)","(X)","66.3%","±27.7","(X)","(X)","35.8%","±41.5"
"    High school graduate (includes equivalency)","(X)","(X)","64.5%","±16.0","(X)","(X)","69.9%","±22.4","(X)","(X)","59.2%","±27.2"
"    Some college or associate's degree","(X)","(X)","41.1%","±15.2","(X)","(X)","51.7%","±20.7","(X)","(X)","27.6%","±17.7"
"    Bachelor's degree or higher","(X)","(X)","15.6%","±7.6","(X)","(X)","10.3%","±8.7","(X)","(X)","21.5%","±11.4"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","35,880","±5,477","(X)","(X)","34,875","±7,476","(X)","(X)","36,995","±6,604","(X)","(X)"
"        Less than high school graduate","23,882","±7,652","(X)","(X)","21,184","±11,616","(X)","(X)","-","**","(X)","(X)"
"        High school graduate (includes equivalency)","14,680","±10,120","(X)","(X)","13,771","±4,290","(X)","(X)","22,368","±10,962","(X)","(X)"
"        Some college or associate's degree","28,036","±8,637","(X)","(X)","20,682","±7,016","(X)","(X)","30,793","±5,070","(X)","(X)"
"        Bachelor's degree","-","**","(X)","(X)","79,808","±28,774","(X)","(X)","-","**","(X)","(X)"
"        Graduate or professional degree","95,530","±28,118","(X)","(X)","86,250","±79,034","(X)","(X)","95,631","±36,530","(X)","(X)"
