"Label (Grouping)","ZCTA5 40203!!Total!!Estimate","ZCTA5 40203!!Total!!Margin of Error","ZCTA5 40203!!Percent!!Estimate","ZCTA5 40203!!Percent!!Margin of Error","ZCTA5 40203!!Male!!Estimate","ZCTA5 40203!!Male!!Margin of Error","ZCTA5 40203!!Percent Male!!Estimate","ZCTA5 40203!!Percent Male!!Margin of Error","ZCTA5 40203!!Female!!Estimate","ZCTA5 40203!!Female!!Margin of Error","ZCTA5 40203!!Percent Female!!Estimate","ZCTA5 40203!!Percent Female!!Margin of Error"
"        High school graduate or higher","10,387","±995","85.8%","±2.8","5,039","±701","84.7%","±4.5","5,348","±543","86.8%","±3.5"
"        Bachelor's degree or higher","2,698","±509","22.3%","±3.7","1,299","±325","21.8%","±5.0","1,399","±362","22.7%","±5.1"
"    Population 25 to 34 years","3,386","±558","(X)","(X)","1,546","±389","(X)","(X)","1,840","±369","(X)","(X)"
"        High school graduate or higher","3,211","±563","94.8%","±2.6","1,459","±402","94.4%","±4.2","1,752","±365","95.2%","±3.4"
"        Bachelor's degree or higher","1,082","±392","32.0%","±9.1","600","±266","38.8%","±12.3","482","±217","26.2%","±10.0"
"    Population 35 to 44 years","1,963","±422","(X)","(X)","1,030","±294","(X)","(X)","933","±231","(X)","(X)"
"        High school graduate or higher","1,601","±387","81.6%","±7.9","876","±288","85.0%","±11.9","725","±207","77.7%","±10.9"
"        Bachelor's degree or higher","410","±205","20.9%","±8.6","214","±108","20.8%","±9.9","196","±124","21.0%","±12.0"
"    Population 45 to 64 years","4,424","±625","(X)","(X)","2,392","±387","(X)","(X)","2,032","±434","(X)","(X)"
"        High school graduate or higher","3,688","±571","83.4%","±5.3","1,965","±372","82.1%","±7.7","1,723","±407","84.8%","±7.8"
"        Bachelor's degree or higher","812","±306","18.4%","±6.0","325","±116","13.6%","±4.9","487","±301","24.0%","±11.8"
"    Population 65 years and over","2,335","±331","(X)","(X)","978","±213","(X)","(X)","1,357","±244","(X)","(X)"
"        High school graduate or higher","1,887","±309","80.8%","±5.4","739","±215","75.6%","±11.0","1,148","±224","84.6%","±5.1"
"        Bachelor's degree or higher","394","±109","16.9%","±4.7","160","±79","16.4%","±7.9","234","±86","17.2%","±6.1"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","6,016","±691","(X)","(X)","3,106","±487","(X)","(X)","2,910","±458","(X)","(X)"
"        High school graduate or higher","5,333","±673","88.6%","±3.1","2,756","±494","88.7%","±5.1","2,577","±441","88.6%","±3.9"
"        Bachelor's degree or higher","1,978","±515","32.9%","±6.6","1,057","±321","34.0%","±7.7","921","±343","31.6%","±9.4"
"    White alone, not Hispanic or Latino","5,992","±690","(X)","(X)","3,082","±484","(X)","(X)","2,910","±458","(X)","(X)"
"        High school graduate or higher","5,309","±672","88.6%","±3.1","2,732","±491","88.6%","±5.1","2,577","±441","88.6%","±3.9"
"        Bachelor's degree or higher","1,970","±516","32.9%","±6.7","1,049","±322","34.0%","±7.9","921","±343","31.6%","±9.4"
"    Black alone","5,394","±806","(X)","(X)","2,386","±522","(X)","(X)","3,008","±467","(X)","(X)"
"        High school graduate or higher","4,445","±742","82.4%","±4.5","1,905","±502","79.8%","±8.0","2,540","±393","84.4%","±5.8"
"        Bachelor's degree or higher","637","±204","11.8%","±3.3","201","±124","8.4%","±4.8","436","±150","14.5%","±4.6"
"    American Indian or Alaska Native alone","7","±14","(X)","(X)","0","±20","(X)","(X)","7","±14","(X)","(X)"
"        High school graduate or higher","7","±14","100.0%","±100.0","0","±20","-","**","7","±14","100.0%","±100.0"
"        Bachelor's degree or higher","7","±14","100.0%","±100.0","0","±20","-","**","7","±14","100.0%","±100.0"
"    Asian alone","7","±20","(X)","(X)","7","±20","(X)","(X)","0","±20","(X)","(X)"
"        High school graduate or higher","7","±20","100.0%","±100.0","7","±20","100.0%","±100.0","0","±20","-","**"
"        Bachelor's degree or higher","0","±20","0.0%","±100.0","0","±20","0.0%","±100.0","0","±20","-","**"
"    Native Hawaiian and Other Pacific Islander alone","1","±8","(X)","(X)","0","±20","(X)","(X)","1","±8","(X)","(X)"
"        High school graduate or higher","1","±8","100.0%","±100.0","0","±20","-","**","1","±8","100.0%","±100.0"
"        Bachelor's degree or higher","0","±20","0.0%","±100.0","0","±20","-","**","0","±20","0.0%","±100.0"
"    Some other race alone","193","±176","(X)","(X)","193","±176","(X)","(X)","0","±20","(X)","(X)"
"        High school graduate or higher","165","±176","85.5%","±28.1","165","±176","85.5%","±28.1","0","±20","-","**"
"        Bachelor's degree or higher","10","±18","5.2%","±16.0","10","±18","5.2%","±16.0","0","±20","-","**"
"    Two or more races","490","±147","(X)","(X)","254","±106","(X)","(X)","236","±103","(X)","(X)"
"        High school graduate or higher","429","±143","87.6%","±9.5","206","±99","81.1%","±15.7","223","±104","94.5%","±7.5"
"        Bachelor's degree or higher","66","±46","13.5%","±10.1","31","±28","12.2%","±12.8","35","±36","14.8%","±15.9"
"    Hispanic or Latino Origin","314","±191","(X)","(X)","270","±184","(X)","(X)","44","±33","(X)","(X)"
"        High school graduate or higher","279","±190","88.9%","±16.3","242","±183","89.6%","±17.6","37","±29","84.1%","±31.0"
"        Bachelor's degree or higher","26","±33","8.3%","±10.3","8","±15","3.0%","±6.2","18","±22","40.9%","±38.1"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","56.0%","±9.7","(X)","(X)","45.4%","±13.8","(X)","(X)","68.2%","±12.4"
"    High school graduate (includes equivalency)","(X)","(X)","39.6%","±7.7","(X)","(X)","34.8%","±10.3","(X)","(X)","45.6%","±10.6"
"    Some college or associate's degree","(X)","(X)","36.4%","±7.4","(X)","(X)","29.4%","±12.1","(X)","(X)","40.7%","±8.2"
"    Bachelor's degree or higher","(X)","(X)","7.7%","±4.3","(X)","(X)","9.1%","±6.3","(X)","(X)","6.4%","±4.4"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","36,380","±5,360","(X)","(X)","41,603","±5,922","(X)","(X)","33,147","±4,037","(X)","(X)"
"        Less than high school graduate","31,250","±14,516","(X)","(X)","33,684","±8,644","(X)","(X)","-","**","(X)","(X)"
"        High school graduate (includes equivalency)","26,724","±10,252","(X)","(X)","34,510","±11,025","(X)","(X)","18,786","±6,588","(X)","(X)"
"        Some college or associate's degree","29,692","±7,966","(X)","(X)","37,419","±10,315","(X)","(X)","28,608","±3,014","(X)","(X)"
"        Bachelor's degree","61,092","±1,542","(X)","(X)","70,170","±19,562","(X)","(X)","60,532","±1,912","(X)","(X)"
"        Graduate or professional degree","53,403","±17,091","(X)","(X)","94,250","±50,905","(X)","(X)","37,056","±15,026","(X)","(X)"
