"Label (Grouping)","ZCTA5 40219!!Total!!Estimate","ZCTA5 40219!!Total!!Margin of Error","ZCTA5 40219!!Percent!!Estimate","ZCTA5 40219!!Percent!!Margin of Error","ZCTA5 40219!!Male!!Estimate","ZCTA5 40219!!Male!!Margin of Error","ZCTA5 40219!!Percent Male!!Estimate","ZCTA5 40219!!Percent Male!!Margin of Error","ZCTA5 40219!!Female!!Estimate","ZCTA5 40219!!Female!!Margin of Error","ZCTA5 40219!!Percent Female!!Estimate","ZCTA5 40219!!Percent Female!!Margin of Error"
"        High school graduate or higher","13,213","±1,010","90.2%","±2.0","6,180","±583","88.5%","±3.3","7,033","±637","91.7%","±2.5"
"        Bachelor's degree or higher","2,692","±473","18.4%","±2.9","1,139","±259","16.3%","±3.7","1,553","±305","20.2%","±3.7"
"    White alone, not Hispanic or Latino","13,114","±1,009","(X)","(X)","6,129","±535","(X)","(X)","6,985","±634","(X)","(X)"
"        High school graduate or higher","11,955","±990","91.2%","±2.0","5,484","±539","89.5%","±3.3","6,471","±642","92.6%","±2.6"
"        Bachelor's degree or higher","2,143","±439","16.3%","±3.0","917","±224","15.0%","±3.5","1,226","±293","17.6%","±3.9"
"    Black alone","6,414","±767","(X)","(X)","2,973","±512","(X)","(X)","3,441","±607","(X)","(X)"
"        High school graduate or higher","5,751","±755","89.7%","±4.7","2,715","±519","91.3%","±4.9","3,036","±576","88.2%","±7.0"
"        Bachelor's degree or higher","1,402","±527","21.9%","±7.3","489","±194","16.4%","±6.5","913","±473","26.5%","±11.0"
"    American Indian or Alaska Native alone","37","±45","(X)","(X)","5","±9","(X)","(X)","32","±45","(X)","(X)"
"        High school graduate or higher","31","±44","83.8%","±44.2","5","±9","100.0%","±100.0","26","±44","81.3%","±66.1"
"        Bachelor's degree or higher","3","±5","8.1%","±17.9","3","±5","60.0%","±49.6","0","±27","0.0%","±56.3"
"    Asian alone","282","±170","(X)","(X)","167","±111","(X)","(X)","115","±82","(X)","(X)"
"        High school graduate or higher","199","±130","70.6%","±30.7","133","±106","79.6%","±33.5","66","±50","57.4%","±29.3"
"        Bachelor's degree or higher","94","±99","33.3%","±26.0","60","±79","35.9%","±33.5","34","±36","29.6%","±24.9"
"    Native Hawaiian and Other Pacific Islander alone","4","±7","(X)","(X)","0","±27","(X)","(X)","4","±7","(X)","(X)"
"        High school graduate or higher","4","±7","100.0%","±100.0","0","±27","-","**","4","±7","100.0%","±100.0"
"        Bachelor's degree or higher","0","±27","0.0%","±100.0","0","±27","-","**","0","±27","0.0%","±100.0"
"    Some other race alone","1,019","±343","(X)","(X)","388","±165","(X)","(X)","631","±222","(X)","(X)"
"        High school graduate or higher","822","±302","80.7%","±11.9","307","±155","79.1%","±16.7","515","±196","81.6%","±13.9"
"        Bachelor's degree or higher","250","±136","24.5%","±10.8","106","±91","27.3%","±19.8","144","±96","22.8%","±14.3"
"    Two or more races","3,360","±698","(X)","(X)","1,410","±347","(X)","(X)","1,950","±498","(X)","(X)"
"        High school graduate or higher","2,521","±520","75.0%","±8.6","1,070","±270","75.9%","±11.1","1,451","±366","74.4%","±10.7"
"        Bachelor's degree or higher","616","±237","18.3%","±7.0","254","±144","18.0%","±9.9","362","±171","18.6%","±8.7"
"    Hispanic or Latino Origin","5,416","±848","(X)","(X)","2,503","±462","(X)","(X)","2,913","±517","(X)","(X)"
"        High school graduate or higher","4,195","±678","77.5%","±6.4","1,969","±405","78.7%","±7.7","2,226","±400","76.4%","±8.6"
"        Bachelor's degree or higher","1,319","±348","24.4%","±6.0","547","±207","21.9%","±7.5","772","±216","26.5%","±7.5"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","23.3%","±7.6","(X)","(X)","18.4%","±8.0","(X)","(X)","27.8%","±11.0"
"    High school graduate (includes equivalency)","(X)","(X)","16.6%","±4.7","(X)","(X)","14.8%","±6.2","(X)","(X)","18.5%","±5.6"
"    Some college or associate's degree","(X)","(X)","12.4%","±3.6","(X)","(X)","4.1%","±1.7","(X)","(X)","19.2%","±5.8"
"    Bachelor's degree or higher","(X)","(X)","5.1%","±2.9","(X)","(X)","6.4%","±4.6","(X)","(X)","4.3%","±3.1"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","40,559","±1,561","(X)","(X)","43,415","±3,289","(X)","(X)","35,765","±2,888","(X)","(X)"
"        Less than high school graduate","27,239","±9,012","(X)","(X)","34,396","±7,359","(X)","(X)","25,959","±3,993","(X)","(X)"
"        High school graduate (includes equivalency)","37,796","±3,837","(X)","(X)","41,947","±5,063","(X)","(X)","33,208","±3,675","(X)","(X)"
"        Some college or associate's degree","41,582","±1,662","(X)","(X)","48,679","±9,531","(X)","(X)","35,852","±3,034","(X)","(X)"
"        Bachelor's degree","46,103","±5,956","(X)","(X)","46,382","±7,593","(X)","(X)","45,722","±11,115","(X)","(X)"
"        Graduate or professional degree","46,068","±7,043","(X)","(X)","45,457","±9,818","(X)","(X)","46,691","±11,598","(X)","(X)"
