"Label (Grouping)","ZCTA5 40211!!Total!!Estimate","ZCTA5 40211!!Total!!Margin of Error","ZCTA5 40211!!Percent!!Estimate","ZCTA5 40211!!Percent!!Margin of Error","ZCTA5 40211!!Male!!Estimate","ZCTA5 40211!!Male!!Margin of Error","ZCTA5 40211!!Percent Male!!Estimate","ZCTA5 40211!!Percent Male!!Margin of Error","ZCTA5 40211!!Female!!Estimate","ZCTA5 40211!!Female!!Margin of Error","ZCTA5 40211!!Percent Female!!Estimate","ZCTA5 40211!!Percent Female!!Margin of Error"
"        Bachelor's degree or higher","0","±24","-","**","0","±24","-","**","0","±24","-","**"
"    Some other race alone","134","±138","(X)","(X)","46","±55","(X)","(X)","88","±91","(X)","(X)"
"        High school graduate or higher","103","±129","76.9%","±39.7","46","±55","100.0%","±47.0","57","±75","64.8%","±50.3"
"        Bachelor's degree or higher","75","±123","56.0%","±52.7","31","±51","67.4%","±55.0","44","±72","50.0%","±50.0"
"    Two or more races","357","±187","(X)","(X)","163","±123","(X)","(X)","194","±130","(X)","(X)"
"        High school graduate or higher","318","±165","89.1%","±15.1","163","±123","100.0%","±20.4","155","±93","79.9%","±23.9"
"        Bachelor's degree or higher","38","±34","10.6%","±8.4","29","±33","17.8%","±9.8","9","±15","4.6%","±9.8"
"    Hispanic or Latino Origin","130","±111","(X)","(X)","38","±48","(X)","(X)","92","±93","(X)","(X)"
"        High school graduate or higher","97","±98","74.6%","±35.5","36","±48","94.7%","±15.4","61","±77","66.3%","±47.9"
"        Bachelor's degree or higher","53","±75","40.8%","±40.2","0","±24","0.0%","±51.7","53","±75","57.6%","±49.8"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","53.7%","±10.8","(X)","(X)","41.9%","±16.3","(X)","(X)","59.8%","±14.4"
"    High school graduate (includes equivalency)","(X)","(X)","44.8%","±7.5","(X)","(X)","39.1%","±10.2","(X)","(X)","49.9%","±9.4"
"    Some college or associate's degree","(X)","(X)","20.9%","±5.8","(X)","(X)","8.8%","±5.8","(X)","(X)","27.3%","±7.5"
"    Bachelor's degree or higher","(X)","(X)","10.8%","±6.0","(X)","(X)","8.3%","±8.0","(X)","(X)","11.7%","±7.6"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","31,328","±3,951","(X)","(X)","38,993","±6,214","(X)","(X)","26,399","±5,683","(X)","(X)"
"        Less than high school graduate","-","**","(X)","(X)","-","**","(X)","(X)","13,937","±13,422","(X)","(X)"
"        High school graduate (includes equivalency)","23,611","±7,091","(X)","(X)","38,706","±12,879","(X)","(X)","18,097","±5,170","(X)","(X)"
"        Some college or associate's degree","36,135","±4,512","(X)","(X)","40,849","±3,452","(X)","(X)","34,139","±6,739","(X)","(X)"
"        Bachelor's degree","40,647","±16,164","(X)","(X)","70,793","±39,107","(X)","(X)","37,331","±8,468","(X)","(X)"
"        Graduate or professional degree","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)"
