"Label (Grouping)","ZCTA5 40025!!Total!!Estimate","ZCTA5 40025!!Total!!Margin of Error","ZCTA5 40025!!Percent!!Estimate","ZCTA5 40025!!Percent!!Margin of Error","ZCTA5 40025!!Male!!Estimate","ZCTA5 40025!!Male!!Margin of Error","ZCTA5 40025!!Percent Male!!Estimate","ZCTA5 40025!!Percent Male!!Margin of Error","ZCTA5 40025!!Female!!Estimate","ZCTA5 40025!!Female!!Margin of Error","ZCTA5 40025!!Percent Female!!Estimate","ZCTA5 40025!!Percent Female!!Margin of Error"
"    Population 35 to 44 years","83","±41","(X)","(X)","20","±11","(X)","(X)","63","±38","(X)","(X)"
"        High school graduate or higher","83","±41","100.0%","±34.5","20","±11","100.0%","±71.2","63","±38","100.0%","±40.1"
"        Bachelor's degree or higher","81","±41","97.6%","±4.1","18","±11","90.0%","±17.4","63","±38","100.0%","±40.1"
"    Population 45 to 64 years","243","±97","(X)","(X)","166","±67","(X)","(X)","77","±37","(X)","(X)"
"        High school graduate or higher","241","±97","99.2%","±2.0","166","±67","100.0%","±20.1","75","±37","97.4%","±6.5"
"        Bachelor's degree or higher","224","±96","92.2%","±6.7","154","±66","92.8%","±8.1","70","±38","90.9%","±13.3"
"    Population 65 years and over","130","±35","(X)","(X)","68","±21","(X)","(X)","62","±21","(X)","(X)"
"        High school graduate or higher","128","±34","98.5%","±2.4","68","±21","100.0%","±38.6","60","±21","96.8%","±5.1"
"        Bachelor's degree or higher","108","±32","83.1%","±10.1","66","±20","97.1%","±6.1","42","±18","67.7%","±17.0"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","403","±103","(X)","(X)","249","±69","(X)","(X)","154","±42","(X)","(X)"
"        High school graduate or higher","403","±103","100.0%","±8.9","249","±69","100.0%","±13.9","154","±42","100.0%","±21.4"
"        Bachelor's degree or higher","369","±100","91.6%","±4.5","236","±70","94.8%","±5.2","133","±41","86.4%","±8.2"
"    White alone, not Hispanic or Latino","398","±101","(X)","(X)","246","±68","(X)","(X)","152","±42","(X)","(X)"
"        High school graduate or higher","398","±101","100.0%","±9.0","246","±68","100.0%","±14.1","152","±42","100.0%","±21.6"
"        Bachelor's degree or higher","364","±99","91.5%","±4.6","233","±68","94.7%","±5.2","131","±41","86.2%","±8.3"
"    Black alone","0","±13","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)"
"        High school graduate or higher","0","±13","-","**","0","±13","-","**","0","±13","-","**"
"        Bachelor's degree or higher","0","±13","-","**","0","±13","-","**","0","±13","-","**"
"    American Indian or Alaska Native alone","0","±13","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)"
"        High school graduate or higher","0","±13","-","**","0","±13","-","**","0","±13","-","**"
"        Bachelor's degree or higher","0","±13","-","**","0","±13","-","**","0","±13","-","**"
"    Asian alone","22","±16","(X)","(X)","5","±4","(X)","(X)","17","±14","(X)","(X)"
"        High school graduate or higher","20","±16","90.9%","±23.9","5","±4","100.0%","±100.0","15","±14","88.2%","±30.3"
"        Bachelor's degree or higher","20","±16","90.9%","±23.9","5","±4","100.0%","±100.0","15","±14","88.2%","±30.3"
"    Native Hawaiian and Other Pacific Islander alone","0","±13","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)"
"        High school graduate or higher","0","±13","-","**","0","±13","-","**","0","±13","-","**"
"        Bachelor's degree or higher","0","±13","-","**","0","±13","-","**","0","±13","-","**"
"    Some other race alone","0","±13","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)"
"        High school graduate or higher","0","±13","-","**","0","±13","-","**","0","±13","-","**"
"        Bachelor's degree or higher","0","±13","-","**","0","±13","-","**","0","±13","-","**"
"    Two or more races","40","±34","(X)","(X)","5","±6","(X)","(X)","35","±33","(X)","(X)"
"        High school graduate or higher","38","±34","95.0%","±9.9","5","±6","100.0%","±100.0","33","±33","94.3%","±11.5"
"        Bachelor's degree or higher","33","±33","82.5%","±21.4","2","±4","40.0%","±60.0","31","±33","88.6%","±19.8"
"    Hispanic or Latino Origin","31","±37","(X)","(X)","3","±6","(X)","(X)","28","±34","(X)","(X)"
"        High school graduate or higher","31","±37","100.0%","±57.2","3","±6","100.0%","±100.0","28","±34","100.0%","±60.2"
"        Bachelor's degree or higher","29","±37","93.5%","±17.6","3","±6","100.0%","±100.0","26","±34","92.9%","±20.7"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","0.0%","±100.0","(X)","(X)","-","**","(X)","(X)","0.0%","±100.0"
"    High school graduate (includes equivalency)","(X)","(X)","0.0%","±79.6","(X)","(X)","0.0%","±100.0","(X)","(X)","0.0%","±100.0"
"    Some college or associate's degree","(X)","(X)","13.0%","±21.6","(X)","(X)","16.7%","±35.6","(X)","(X)","11.8%","±26.4"
"    Bachelor's degree or higher","(X)","(X)","1.2%","±1.8","(X)","(X)","1.2%","±1.8","(X)","(X)","1.1%","±2.4"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","168,750","±160,704","(X)","(X)","250,000+","***","(X)","(X)","-","**","(X)","(X)"
"        Less than high school graduate","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)"
"        High school graduate (includes equivalency)","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)"
"        Some college or associate's degree","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)"
"        Bachelor's degree","91,111","±40,874","(X)","(X)","250,000+","***","(X)","(X)","32,019","±4,669","(X)","(X)"
"        Graduate or professional degree","250,000+","***","(X)","(X)","247,500","±197,640","(X)","(X)","250,000+","***","(X)","(X)"
