"Label (Grouping)","ZCTA5 40213!!Total!!Estimate","ZCTA5 40213!!Total!!Margin of Error","ZCTA5 40213!!Percent!!Estimate","ZCTA5 40213!!Percent!!Margin of Error","ZCTA5 40213!!Male!!Estimate","ZCTA5 40213!!Male!!Margin of Error","ZCTA5 40213!!Percent Male!!Estimate","ZCTA5 40213!!Percent Male!!Margin of Error","ZCTA5 40213!!Female!!Estimate","ZCTA5 40213!!Female!!Margin of Error","ZCTA5 40213!!Percent Female!!Estimate","ZCTA5 40213!!Percent Female!!Margin of Error"
"        Bachelor's degree or higher","2,276","±260","29.5%","±3.3","933","±144","23.9%","±3.9","1,343","±207","35.2%","±5.3"
"    White alone, not Hispanic or Latino","7,507","±638","(X)","(X)","3,789","±429","(X)","(X)","3,718","±349","(X)","(X)"
"        High school graduate or higher","6,906","±626","92.0%","±2.1","3,413","±434","90.1%","±3.2","3,493","±339","93.9%","±1.9"
"        Bachelor's degree or higher","2,242","±258","29.9%","±3.3","910","±141","24.0%","±4.0","1,332","±206","35.8%","±5.2"
"    Black alone","1,815","±564","(X)","(X)","777","±250","(X)","(X)","1,038","±368","(X)","(X)"
"        High school graduate or higher","1,643","±494","90.5%","±9.3","739","±249","95.1%","±4.8","904","±311","87.1%","±14.8"
"        Bachelor's degree or higher","225","±120","12.4%","±6.2","76","±88","9.8%","±11.2","149","±68","14.4%","±6.5"
"    American Indian or Alaska Native alone","66","±102","(X)","(X)","66","±102","(X)","(X)","0","±20","(X)","(X)"
"        High school graduate or higher","66","±102","100.0%","±39.2","66","±102","100.0%","±39.2","0","±20","-","**"
"        Bachelor's degree or higher","0","±20","0.0%","±39.2","0","±20","0.0%","±39.2","0","±20","-","**"
"    Asian alone","43","±33","(X)","(X)","28","±30","(X)","(X)","15","±16","(X)","(X)"
"        High school graduate or higher","41","±33","95.3%","±11.9","28","±30","100.0%","±60.2","13","±15","86.7%","±33.1"
"        Bachelor's degree or higher","28","±27","65.1%","±36.1","15","±23","53.6%","±53.6","13","±15","86.7%","±33.1"
"    Native Hawaiian and Other Pacific Islander alone","8","±10","(X)","(X)","0","±20","(X)","(X)","8","±10","(X)","(X)"
"        High school graduate or higher","8","±10","100.0%","±100.0","0","±20","-","**","8","±10","100.0%","±100.0"
"        Bachelor's degree or higher","0","±20","0.0%","±100.0","0","±20","-","**","0","±20","0.0%","±100.0"
"    Some other race alone","331","±181","(X)","(X)","234","±131","(X)","(X)","97","±83","(X)","(X)"
"        High school graduate or higher","178","±112","53.8%","±24.3","83","±60","35.5%","±27.0","95","±83","97.9%","±3.4"
"        Bachelor's degree or higher","51","±55","15.4%","±18.4","26","±24","11.1%","±12.0","25","±34","25.8%","±38.6"
"    Two or more races","1,219","±421","(X)","(X)","512","±254","(X)","(X)","707","±259","(X)","(X)"
"        High school graduate or higher","1,048","±369","86.0%","±7.4","457","±213","89.3%","±12.4","591","±239","83.6%","±9.9"
"        Bachelor's degree or higher","254","±116","20.8%","±10.5","136","±89","26.6%","±19.1","118","±81","16.7%","±10.5"
"    Hispanic or Latino Origin","1,709","±475","(X)","(X)","884","±308","(X)","(X)","825","±260","(X)","(X)"
"        High school graduate or higher","1,379","±420","80.7%","±7.3","680","±266","76.9%","±12.2","699","±246","84.7%","±9.0"
"        Bachelor's degree or higher","282","±126","16.5%","±7.1","164","±90","18.6%","±10.0","118","±75","14.3%","±8.0"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","25.9%","±12.5","(X)","(X)","29.9%","±15.8","(X)","(X)","20.9%","±15.1"
"    High school graduate (includes equivalency)","(X)","(X)","13.0%","±6.7","(X)","(X)","9.5%","±4.5","(X)","(X)","16.4%","±12.1"
"    Some college or associate's degree","(X)","(X)","7.6%","±2.8","(X)","(X)","2.4%","±2.3","(X)","(X)","13.4%","±5.4"
"    Bachelor's degree or higher","(X)","(X)","8.6%","±4.1","(X)","(X)","8.5%","±4.8","(X)","(X)","8.7%","±4.7"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","42,995","±2,617","(X)","(X)","46,601","±7,639","(X)","(X)","38,409","±4,782","(X)","(X)"
"        Less than high school graduate","28,110","±4,602","(X)","(X)","29,471","±9,537","(X)","(X)","27,737","±8,539","(X)","(X)"
"        High school graduate (includes equivalency)","36,020","±4,050","(X)","(X)","42,490","±14,792","(X)","(X)","28,577","±6,691","(X)","(X)"
"        Some college or associate's degree","41,058","±6,639","(X)","(X)","43,944","±6,877","(X)","(X)","36,567","±8,029","(X)","(X)"
"        Bachelor's degree","51,020","±9,950","(X)","(X)","56,161","±12,503","(X)","(X)","48,780","±9,983","(X)","(X)"
"        Graduate or professional degree","76,893","±12,084","(X)","(X)","81,563","±7,154","(X)","(X)","72,917","±18,031","(X)","(X)"
