"Label (Grouping)","ZCTA5 40023!!Total!!Estimate","ZCTA5 40023!!Total!!Margin of Error","ZCTA5 40023!!Percent!!Estimate","ZCTA5 40023!!Percent!!Margin of Error","ZCTA5 40023!!Male!!Estimate","ZCTA5 40023!!Male!!Margin of Error","ZCTA5 40023!!Percent Male!!Estimate","ZCTA5 40023!!Percent Male!!Margin of Error","ZCTA5 40023!!Female!!Estimate","ZCTA5 40023!!Female!!Margin of Error","ZCTA5 40023!!Percent Female!!Estimate","ZCTA5 40023!!Percent Female!!Margin of Error"
"        Bachelor's degree or higher","66","±76","62.9%","±50.1","0","±18","-","**","66","±76","62.9%","±50.1"
"    Two or more races","122","±111","(X)","(X)","86","±65","(X)","(X)","36","±48","(X)","(X)"
"        High school graduate or higher","122","±111","100.0%","±26.0","86","±65","100.0%","±33.7","36","±48","100.0%","±53.1"
"        Bachelor's degree or higher","102","±109","83.6%","±24.1","68","±62","79.1%","±26.8","34","±48","94.4%","±21.7"
"    Hispanic or Latino Origin","181","±133","(X)","(X)","65","±62","(X)","(X)","116","±89","(X)","(X)"
"        High school graduate or higher","181","±133","100.0%","±18.6","65","±62","100.0%","±39.5","116","±89","100.0%","±27.0"
"        Bachelor's degree or higher","142","±130","78.5%","±34.8","65","±62","100.0%","±39.5","77","±82","66.4%","±48.5"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","0.0%","±41.5","(X)","(X)","0.0%","±53.8","(X)","(X)","0.0%","±65.0"
"    High school graduate (includes equivalency)","(X)","(X)","5.0%","±5.0","(X)","(X)","2.2%","±2.9","(X)","(X)","8.4%","±9.3"
"    Some college or associate's degree","(X)","(X)","1.6%","±1.7","(X)","(X)","1.1%","±1.9","(X)","(X)","2.2%","±3.2"
"    Bachelor's degree or higher","(X)","(X)","1.9%","±1.9","(X)","(X)","0.9%","±1.5","(X)","(X)","2.6%","±2.9"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","67,255","±8,344","(X)","(X)","95,769","±20,227","(X)","(X)","52,306","±10,391","(X)","(X)"
"        Less than high school graduate","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)"
"        High school graduate (includes equivalency)","60,333","±16,053","(X)","(X)","74,118","±52,932","(X)","(X)","30,139","±24,118","(X)","(X)"
"        Some college or associate's degree","70,125","±30,481","(X)","(X)","100,409","±11,902","(X)","(X)","39,063","±14,347","(X)","(X)"
"        Bachelor's degree","64,238","±33,080","(X)","(X)","64,331","±55,945","(X)","(X)","63,661","±38,945","(X)","(X)"
"        Graduate or professional degree","72,426","±21,253","(X)","(X)","151,083","±78,512","(X)","(X)","71,189","±6,150","(X)","(X)"
