"Label (Grouping)","ZCTA5 40291!!Total!!Estimate","ZCTA5 40291!!Total!!Margin of Error","ZCTA5 40291!!Percent!!Estimate","ZCTA5 40291!!Percent!!Margin of Error","ZCTA5 40291!!Male!!Estimate","ZCTA5 40291!!Male!!Margin of Error","ZCTA5 40291!!Percent Male!!Estimate","ZCTA5 40291!!Percent Male!!Margin of Error","ZCTA5 40291!!Female!!Estimate","ZCTA5 40291!!Female!!Margin of Error","ZCTA5 40291!!Percent Female!!Estimate","ZCTA5 40291!!Percent Female!!Margin of Error"
"        High school graduate or higher","4,881","±550","94.2%","±4.0","2,285","±302","94.4%","±4.7","2,596","±398","94.1%","±4.2"
"        Bachelor's degree or higher","2,063","±377","39.8%","±5.4","893","±216","36.9%","±7.7","1,170","±260","42.4%","±7.6"
"    Population 45 to 64 years","10,481","±880","(X)","(X)","4,889","±545","(X)","(X)","5,592","±525","(X)","(X)"
"        High school graduate or higher","10,092","±840","96.3%","±1.3","4,644","±517","95.0%","±2.4","5,448","±539","97.4%","±1.6"
"        Bachelor's degree or higher","3,498","±561","33.4%","±4.8","1,564","±350","32.0%","±6.3","1,934","±328","34.6%","±5.5"
"    Population 65 years and over","7,238","±614","(X)","(X)","3,192","±314","(X)","(X)","4,046","±451","(X)","(X)"
"        High school graduate or higher","6,677","±614","92.2%","±2.1","2,963","±320","92.8%","±2.4","3,714","±448","91.8%","±2.9"
"        Bachelor's degree or higher","1,552","±277","21.4%","±3.6","908","±231","28.4%","±6.2","644","±153","15.9%","±3.6"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","21,232","±1,326","(X)","(X)","9,791","±779","(X)","(X)","11,441","±742","(X)","(X)"
"        High school graduate or higher","20,413","±1,289","96.1%","±1.1","9,319","±730","95.2%","±1.7","11,094","±758","97.0%","±1.2"
"        Bachelor's degree or higher","6,434","±607","30.3%","±2.7","2,965","±400","30.3%","±3.5","3,469","±351","30.3%","±2.9"
"    White alone, not Hispanic or Latino","20,759","±1,347","(X)","(X)","9,633","±790","(X)","(X)","11,126","±752","(X)","(X)"
"        High school graduate or higher","19,954","±1,297","96.1%","±1.1","9,168","±740","95.2%","±1.7","10,786","±756","96.9%","±1.2"
"        Bachelor's degree or higher","6,371","±607","30.7%","±2.7","2,959","±397","30.7%","±3.5","3,412","±351","30.7%","±2.9"
"    Black alone","4,638","±749","(X)","(X)","2,117","±446","(X)","(X)","2,521","±468","(X)","(X)"
"        High school graduate or higher","4,213","±728","90.8%","±5.3","2,019","±451","95.4%","±4.7","2,194","±442","87.0%","±7.5"
"        Bachelor's degree or higher","1,848","±453","39.8%","±7.9","853","±348","40.3%","±12.2","995","±245","39.5%","±10.0"
"    American Indian or Alaska Native alone","1","±4","(X)","(X)","1","±4","(X)","(X)","0","±27","(X)","(X)"
"        High school graduate or higher","1","±4","100.0%","±100.0","1","±4","100.0%","±100.0","0","±27","-","**"
"        Bachelor's degree or higher","1","±4","100.0%","±100.0","1","±4","100.0%","±100.0","0","±27","-","**"
"    Asian alone","839","±365","(X)","(X)","419","±206","(X)","(X)","420","±179","(X)","(X)"
"        High school graduate or higher","677","±311","80.7%","±10.3","317","±181","75.7%","±15.5","360","±156","85.7%","±9.9"
"        Bachelor's degree or higher","410","±230","48.9%","±16.3","180","±147","43.0%","±25.5","230","±118","54.8%","±17.4"
"    Native Hawaiian and Other Pacific Islander alone","20","±22","(X)","(X)","13","±19","(X)","(X)","7","±11","(X)","(X)"
"        High school graduate or higher","20","±22","100.0%","±71.2","13","±19","100.0%","±88.4","7","±11","100.0%","±100.0"
"        Bachelor's degree or higher","10","±17","50.0%","±50.0","10","±17","76.9%","±43.5","0","±27","0.0%","±100.0"
"    Some other race alone","228","±163","(X)","(X)","62","±68","(X)","(X)","166","±125","(X)","(X)"
"        High school graduate or higher","165","±152","72.4%","±29.7","40","±62","64.5%","±52.3","125","±121","75.3%","±27.1"
"        Bachelor's degree or higher","68","±108","29.8%","±40.1","0","±27","0.0%","±40.5","68","±108","41.0%","±46.0"
"    Two or more races","1,330","±481","(X)","(X)","708","±306","(X)","(X)","622","±269","(X)","(X)"
"        High school graduate or higher","1,240","±444","93.2%","±6.6","641","±297","90.5%","±12.7","599","±266","96.3%","±5.9"
"        Bachelor's degree or higher","491","±258","36.9%","±14.1","290","±198","41.0%","±18.8","201","±154","32.3%","±19.6"
"    Hispanic or Latino Origin","1,457","±472","(X)","(X)","745","±303","(X)","(X)","712","±254","(X)","(X)"
"        High school graduate or higher","1,316","±453","90.3%","±6.5","652","±297","87.5%","±11.8","664","±267","93.3%","±7.1"
"        Bachelor's degree or higher","341","±212","23.4%","±13.3","258","±196","34.6%","±19.6","83","±56","11.7%","±9.3"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","17.6%","±10.1","(X)","(X)","10.1%","±9.0","(X)","(X)","24.8%","±14.7"
"    High school graduate (includes equivalency)","(X)","(X)","9.1%","±3.0","(X)","(X)","6.3%","±3.2","(X)","(X)","11.5%","±4.3"
"    Some college or associate's degree","(X)","(X)","5.4%","±1.8","(X)","(X)","3.3%","±1.9","(X)","(X)","7.1%","±3.0"
"    Bachelor's degree or higher","(X)","(X)","4.8%","±3.4","(X)","(X)","6.0%","±4.5","(X)","(X)","3.9%","±2.6"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","50,465","±3,173","(X)","(X)","59,771","±3,612","(X)","(X)","44,203","±2,909","(X)","(X)"
"        Less than high school graduate","35,320","±4,523","(X)","(X)","40,080","±8,405","(X)","(X)","24,563","±17,426","(X)","(X)"
"        High school graduate (includes equivalency)","45,948","±2,081","(X)","(X)","52,772","±5,482","(X)","(X)","40,968","±8,188","(X)","(X)"
"        Some college or associate's degree","46,250","±5,645","(X)","(X)","57,548","±4,209","(X)","(X)","38,766","±3,333","(X)","(X)"
"        Bachelor's degree","61,039","±8,673","(X)","(X)","77,945","±9,041","(X)","(X)","48,971","±5,980","(X)","(X)"
"        Graduate or professional degree","78,750","±3,879","(X)","(X)","79,518","±4,134","(X)","(X)","75,179","±11,461","(X)","(X)"
