"Label (Grouping)","ZCTA5 40118!!Total!!Estimate","ZCTA5 40118!!Total!!Margin of Error","ZCTA5 40118!!Percent!!Estimate","ZCTA5 40118!!Percent!!Margin of Error","ZCTA5 40118!!Male!!Estimate","ZCTA5 40118!!Male!!Margin of Error","ZCTA5 40118!!Percent Male!!Estimate","ZCTA5 40118!!Percent Male!!Margin of Error","ZCTA5 40118!!Female!!Estimate","ZCTA5 40118!!Female!!Margin of Error","ZCTA5 40118!!Percent Female!!Estimate","ZCTA5 40118!!Percent Female!!Margin of Error"
"        Graduate or professional degree","210","±98","3.2%","±1.5","86","±70","2.7%","±2.2","124","±64","3.7%","±1.9"
"        High school graduate or higher","5,421","±588","82.4%","±4.0","2,480","±308","76.8%","±6.5","2,941","±423","87.9%","±4.2"
"        Bachelor's degree or higher","737","±347","11.2%","±4.9","292","±148","9.0%","±4.5","445","±277","13.3%","±7.6"
"    Population 25 to 34 years","1,083","±306","(X)","(X)","423","±151","(X)","(X)","660","±237","(X)","(X)"
"        High school graduate or higher","1,038","±309","95.8%","±4.2","387","±153","91.5%","±9.8","651","±236","98.6%","±2.2"
"        Bachelor's degree or higher","99","±56","9.1%","±5.8","7","±10","1.7%","±2.7","92","±54","13.9%","±9.1"
"    Population 35 to 44 years","1,553","±231","(X)","(X)","821","±158","(X)","(X)","732","±138","(X)","(X)"
"        High school graduate or higher","1,307","±224","84.2%","±6.2","648","±158","78.9%","±11.1","659","±146","90.0%","±10.0"
"        Bachelor's degree or higher","95","±58","6.1%","±3.5","77","±56","9.4%","±6.3","18","±21","2.5%","±2.9"
"    Population 45 to 64 years","2,317","±448","(X)","(X)","1,229","±283","(X)","(X)","1,088","±296","(X)","(X)"
"        High school graduate or higher","1,751","±418","75.6%","±9.1","873","±221","71.0%","±11.8","878","±309","80.7%","±11.2"
"        Bachelor's degree or higher","415","±286","17.9%","±10.4","127","±102","10.3%","±8.3","288","±273","26.5%","±19.1"
"    Population 65 years and over","1,623","±324","(X)","(X)","757","±183","(X)","(X)","866","±266","(X)","(X)"
"        High school graduate or higher","1,325","±282","81.6%","±8.5","572","±105","75.6%","±15.4","753","±269","87.0%","±6.9"
"        Bachelor's degree or higher","128","±77","7.9%","±5.0","81","±68","10.7%","±8.8","47","±38","5.4%","±4.4"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","5,748","±576","(X)","(X)","2,751","±323","(X)","(X)","2,997","±410","(X)","(X)"
"        High school graduate or higher","4,736","±566","82.4%","±4.3","2,093","±266","76.1%","±7.5","2,643","±425","88.2%","±4.1"
"        Bachelor's degree or higher","731","±348","12.7%","±5.6","292","±148","10.6%","±5.2","439","±278","14.6%","±8.5"
"    White alone, not Hispanic or Latino","5,647","±584","(X)","(X)","2,693","±329","(X)","(X)","2,954","±407","(X)","(X)"
"        High school graduate or higher","4,656","±567","82.5%","±4.3","2,056","±266","76.3%","±7.5","2,600","±422","88.0%","±4.1"
"        Bachelor's degree or higher","731","±348","12.9%","±5.7","292","±148","10.8%","±5.3","439","±278","14.9%","±8.6"
"    Black alone","132","±113","(X)","(X)","62","±75","(X)","(X)","70","±77","(X)","(X)"
"        High school graduate or higher","132","±113","100.0%","±24.4","62","±75","100.0%","±40.5","70","±77","100.0%","±38.1"
"        Bachelor's degree or higher","0","±18","0.0%","±24.4","0","±18","0.0%","±40.5","0","±18","0.0%","±38.1"
"    American Indian or Alaska Native alone","0","±18","(X)","(X)","0","±18","(X)","(X)","0","±18","(X)","(X)"
"        High school graduate or higher","0","±18","-","**","0","±18","-","**","0","±18","-","**"
"        Bachelor's degree or higher","0","±18","-","**","0","±18","-","**","0","±18","-","**"
"    Asian alone","0","±18","(X)","(X)","0","±18","(X)","(X)","0","±18","(X)","(X)"
"        High school graduate or higher","0","±18","-","**","0","±18","-","**","0","±18","-","**"
"        Bachelor's degree or higher","0","±18","-","**","0","±18","-","**","0","±18","-","**"
"    Native Hawaiian and Other Pacific Islander alone","0","±18","(X)","(X)","0","±18","(X)","(X)","0","±18","(X)","(X)"
"        High school graduate or higher","0","±18","-","**","0","±18","-","**","0","±18","-","**"
"        Bachelor's degree or higher","0","±18","-","**","0","±18","-","**","0","±18","-","**"
"    Some other race alone","255","±192","(X)","(X)","218","±178","(X)","(X)","37","±52","(X)","(X)"
"        High school graduate or higher","144","±115","56.5%","±26.9","138","±115","63.3%","±22.9","6","±11","16.2%","±41.7"
"        Bachelor's degree or higher","6","±11","2.4%","±5.2","0","±18","0.0%","±15.7","6","±11","16.2%","±41.7"
"    Two or more races","441","±199","(X)","(X)","199","±108","(X)","(X)","242","±120","(X)","(X)"
"        High school graduate or higher","409","±196","92.7%","±7.0","187","±103","94.0%","±9.3","222","±120","91.7%","±10.6"
"        Bachelor's degree or higher","0","±18","0.0%","±8.1","0","±18","0.0%","±17.1","0","±18","0.0%","±14.3"
"    Hispanic or Latino Origin","694","±281","(X)","(X)","442","±203","(X)","(X)","252","±130","(X)","(X)"
"        High school graduate or higher","551","±234","79.4%","±14.5","341","±147","77.1%","±14.3","210","±125","83.3%","±21.8"
"        Bachelor's degree or higher","6","±11","0.9%","±1.6","0","±18","0.0%","±8.1","6","±11","2.4%","±4.3"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","28.0%","±16.1","(X)","(X)","24.1%","±17.8","(X)","(X)","35.1%","±19.1"
"    High school graduate (includes equivalency)","(X)","(X)","14.3%","±6.1","(X)","(X)","15.1%","±7.3","(X)","(X)","13.4%","±6.4"
"    Some college or associate's degree","(X)","(X)","20.4%","±12.8","(X)","(X)","6.6%","±7.9","(X)","(X)","28.7%","±19.1"
"    Bachelor's degree or higher","(X)","(X)","3.0%","±3.4","(X)","(X)","0.0%","±12.0","(X)","(X)","4.9%","±6.2"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","40,421","±3,054","(X)","(X)","42,192","±5,457","(X)","(X)","38,471","±3,834","(X)","(X)"
"        Less than high school graduate","40,561","±15,434","(X)","(X)","40,391","±20,227","(X)","(X)","41,339","±17,360","(X)","(X)"
"        High school graduate (includes equivalency)","36,898","±5,235","(X)","(X)","39,514","±6,510","(X)","(X)","31,634","±3,193","(X)","(X)"
"        Some college or associate's degree","38,973","±4,989","(X)","(X)","44,722","±11,633","(X)","(X)","37,724","±3,638","(X)","(X)"
"        Bachelor's degree","44,929","±16,535","(X)","(X)","85,474","±45,398","(X)","(X)","43,900","±1,002","(X)","(X)"
"        Graduate or professional degree","76,776","±6,836","(X)","(X)","-","**","(X)","(X)","75,954","±36,552","(X)","(X)"
