"Label (Grouping)","ZCTA5 40207!!Total!!Estimate","ZCTA5 40207!!Total!!Margin of Error","ZCTA5 40207!!Percent!!Estimate","ZCTA5 40207!!Percent!!Margin of Error","ZCTA5 40207!!Male!!Estimate","ZCTA5 40207!!Male!!Margin of Error","ZCTA5 40207!!Percent Male!!Estimate","ZCTA5 40207!!Percent Male!!Margin of Error","ZCTA5 40207!!Female!!Estimate","ZCTA5 40207!!Female!!Margin of Error","ZCTA5 40207!!Percent Female!!Estimate","ZCTA5 40207!!Percent Female!!Margin of Error"
"        High school graduate or higher","19,353","±726","98.6%","±0.4","9,166","±338","98.2%","±0.9","10,187","±536","99.0%","±0.4"
"        Bachelor's degree or higher","13,329","±690","67.9%","±2.6","6,585","±353","70.5%","±3.1","6,744","±465","65.6%","±2.9"
"    White alone, not Hispanic or Latino","19,490","±726","(X)","(X)","9,249","±334","(X)","(X)","10,241","±537","(X)","(X)"
"        High school graduate or higher","19,221","±726","98.6%","±0.4","9,080","±342","98.2%","±0.9","10,141","±539","99.0%","±0.4"
"        Bachelor's degree or higher","13,228","±683","67.9%","±2.6","6,521","±350","70.5%","±3.1","6,707","±464","65.5%","±3.0"
"    Black alone","675","±212","(X)","(X)","259","±113","(X)","(X)","416","±132","(X)","(X)"
"        High school graduate or higher","647","±206","95.9%","±3.7","247","±110","95.4%","±5.3","400","±130","96.2%","±5.0"
"        Bachelor's degree or higher","377","±143","55.9%","±12.4","106","±63","40.9%","±20.4","271","±116","65.1%","±16.8"
"    American Indian or Alaska Native alone","7","±7","(X)","(X)","6","±7","(X)","(X)","1","±2","(X)","(X)"
"        High school graduate or higher","7","±7","100.0%","±100.0","6","±7","100.0%","±100.0","1","±2","100.0%","±100.0"
"        Bachelor's degree or higher","5","±6","71.4%","±54.7","4","±6","66.7%","±66.0","1","±2","100.0%","±100.0"
"    Asian alone","620","±166","(X)","(X)","355","±133","(X)","(X)","265","±111","(X)","(X)"
"        High school graduate or higher","590","±159","95.2%","±6.8","327","±124","92.1%","±11.8","263","±111","99.2%","±1.2"
"        Bachelor's degree or higher","537","±144","86.6%","±9.8","315","±123","88.7%","±12.4","222","±96","83.8%","±15.6"
"    Native Hawaiian and Other Pacific Islander alone","0","±24","(X)","(X)","0","±24","(X)","(X)","0","±24","(X)","(X)"
"        High school graduate or higher","0","±24","-","**","0","±24","-","**","0","±24","-","**"
"        Bachelor's degree or higher","0","±24","-","**","0","±24","-","**","0","±24","-","**"
"    Some other race alone","101","±60","(X)","(X)","29","±25","(X)","(X)","72","±43","(X)","(X)"
"        High school graduate or higher","81","±52","80.2%","±24.0","22","±22","75.9%","±32.2","59","±40","81.9%","±23.7"
"        Bachelor's degree or higher","59","±41","58.4%","±24.3","19","±21","65.5%","±35.4","40","±35","55.6%","±31.8"
"    Two or more races","713","±173","(X)","(X)","371","±116","(X)","(X)","342","±117","(X)","(X)"
"        High school graduate or higher","670","±170","94.0%","±6.1","342","±114","92.2%","±9.8","328","±114","95.9%","±6.0"
"        Bachelor's degree or higher","425","±128","59.6%","±17.0","235","±107","63.3%","±21.1","190","±76","55.6%","±17.1"
"    Hispanic or Latino Origin","489","±178","(X)","(X)","281","±115","(X)","(X)","208","±89","(X)","(X)"
"        High school graduate or higher","452","±173","92.4%","±7.4","271","±114","96.4%","±4.4","181","±82","87.0%","±12.6"
"        Bachelor's degree or higher","253","±108","51.7%","±20.9","164","±96","58.4%","±24.6","89","±40","42.8%","±20.9"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","7.0%","±5.8","(X)","(X)","9.5%","±8.8","(X)","(X)","2.9%","±3.4"
"    High school graduate (includes equivalency)","(X)","(X)","11.1%","±6.8","(X)","(X)","7.0%","±4.2","(X)","(X)","14.5%","±11.3"
"    Some college or associate's degree","(X)","(X)","8.4%","±3.0","(X)","(X)","5.2%","±2.6","(X)","(X)","10.7%","±4.3"
"    Bachelor's degree or higher","(X)","(X)","3.7%","±1.3","(X)","(X)","2.7%","±1.2","(X)","(X)","4.8%","±1.8"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","65,956","±6,322","(X)","(X)","82,679","±7,681","(X)","(X)","54,663","±3,729","(X)","(X)"
"        Less than high school graduate","39,779","±2,880","(X)","(X)","46,250","±17,301","(X)","(X)","34,018","±11,377","(X)","(X)"
"        High school graduate (includes equivalency)","41,503","±7,474","(X)","(X)","47,745","±7,749","(X)","(X)","27,813","±10,755","(X)","(X)"
"        Some college or associate's degree","47,596","±6,253","(X)","(X)","53,859","±8,617","(X)","(X)","42,222","±7,216","(X)","(X)"
"        Bachelor's degree","72,058","±5,110","(X)","(X)","95,871","±11,604","(X)","(X)","58,006","±6,591","(X)","(X)"
"        Graduate or professional degree","91,086","±7,472","(X)","(X)","105,641","±13,707","(X)","(X)","81,942","±12,190","(X)","(X)"
