"Label (Grouping)","ZCTA5 40245!!Total!!Estimate","ZCTA5 40245!!Total!!Margin of Error","ZCTA5 40245!!Percent!!Estimate","ZCTA5 40245!!Percent!!Margin of Error","ZCTA5 40245!!Male!!Estimate","ZCTA5 40245!!Male!!Margin of Error","ZCTA5 40245!!Percent Male!!Estimate","ZCTA5 40245!!Percent Male!!Margin of Error","ZCTA5 40245!!Female!!Estimate","ZCTA5 40245!!Female!!Margin of Error","ZCTA5 40245!!Percent Female!!Estimate","ZCTA5 40245!!Percent Female!!Margin of Error"
"        High school graduate or higher","4,243","±676","97.1%","±1.6","1,965","±389","99.0%","±0.9","2,278","±429","95.6%","±2.8"
"        Bachelor's degree or higher","2,838","±568","65.0%","±6.6","1,278","±341","64.4%","±9.0","1,560","±387","65.4%","±8.5"
"    Population 35 to 44 years","5,321","±555","(X)","(X)","2,480","±390","(X)","(X)","2,841","±347","(X)","(X)"
"        High school graduate or higher","4,888","±485","91.9%","±3.1","2,326","±327","93.8%","±4.5","2,562","±331","90.2%","±4.5"
"        Bachelor's degree or higher","3,269","±377","61.4%","±5.7","1,620","±276","65.3%","±6.8","1,649","±217","58.0%","±7.6"
"    Population 45 to 64 years","10,960","±757","(X)","(X)","5,301","±413","(X)","(X)","5,659","±538","(X)","(X)"
"        High school graduate or higher","10,732","±754","97.9%","±0.9","5,207","±412","98.2%","±1.2","5,525","±541","97.6%","±1.1"
"        Bachelor's degree or higher","6,329","±700","57.7%","±4.3","3,064","±358","57.8%","±5.6","3,265","±499","57.7%","±5.4"
"    Population 65 years and over","6,497","±755","(X)","(X)","3,082","±416","(X)","(X)","3,415","±504","(X)","(X)"
"        High school graduate or higher","6,341","±749","97.6%","±1.3","3,061","±419","99.3%","±0.8","3,280","±497","96.0%","±2.2"
"        Bachelor's degree or higher","3,576","±475","55.0%","±5.3","2,085","±347","67.7%","±8.2","1,491","±308","43.7%","±6.8"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","21,252","±1,504","(X)","(X)","9,679","±711","(X)","(X)","11,573","±979","(X)","(X)"
"        High school graduate or higher","20,931","±1,508","98.5%","±0.6","9,626","±712","99.5%","±0.3","11,305","±987","97.7%","±1.0"
"        Bachelor's degree or higher","12,953","±1,197","60.9%","±2.8","6,251","±656","64.6%","±3.9","6,702","±714","57.9%","±3.3"
"    White alone, not Hispanic or Latino","21,013","±1,488","(X)","(X)","9,606","±712","(X)","(X)","11,407","±956","(X)","(X)"
"        High school graduate or higher","20,736","±1,496","98.7%","±0.6","9,557","±713","99.5%","±0.3","11,179","±969","98.0%","±0.9"
"        Bachelor's degree or higher","12,844","±1,179","61.1%","±2.8","6,210","±657","64.6%","±3.9","6,634","±699","58.2%","±3.3"
"    Black alone","2,068","±429","(X)","(X)","1,008","±275","(X)","(X)","1,060","±258","(X)","(X)"
"        High school graduate or higher","1,940","±421","93.8%","±3.1","973","±273","96.5%","±3.2","967","±252","91.2%","±5.5"
"        Bachelor's degree or higher","953","±270","46.1%","±8.1","465","±180","46.1%","±11.3","488","±143","46.0%","±9.7"
"    American Indian or Alaska Native alone","8","±14","(X)","(X)","4","±7","(X)","(X)","4","±7","(X)","(X)"
"        High school graduate or higher","8","±14","100.0%","±100.0","4","±7","100.0%","±100.0","4","±7","100.0%","±100.0"
"        Bachelor's degree or higher","0","±27","0.0%","±100.0","0","±27","0.0%","±100.0","0","±27","0.0%","±100.0"
"    Asian alone","2,035","±398","(X)","(X)","1,099","±279","(X)","(X)","936","±187","(X)","(X)"
"        High school graduate or higher","1,841","±378","90.5%","±4.9","1,034","±268","94.1%","±4.0","807","±176","86.2%","±8.5"
"        Bachelor's degree or higher","1,438","±323","70.7%","±9.4","821","±221","74.7%","±9.1","617","±171","65.9%","±12.1"
"    Native Hawaiian and Other Pacific Islander alone","4","±8","(X)","(X)","4","±8","(X)","(X)","0","±27","(X)","(X)"
"        High school graduate or higher","4","±8","100.0%","±100.0","4","±8","100.0%","±100.0","0","±27","-","**"
"        Bachelor's degree or higher","0","±27","0.0%","±100.0","0","±27","0.0%","±100.0","0","±27","-","**"
"    Some other race alone","191","±96","(X)","(X)","71","±45","(X)","(X)","120","±69","(X)","(X)"
"        High school graduate or higher","142","±81","74.3%","±29.1","71","±45","100.0%","±37.8","71","±41","59.2%","±39.7"
"        Bachelor's degree or higher","82","±62","42.9%","±25.6","39","±35","54.9%","±35.9","43","±37","35.8%","±30.4"
"    Two or more races","1,588","±625","(X)","(X)","982","±603","(X)","(X)","606","±173","(X)","(X)"
"        High school graduate or higher","1,338","±514","84.3%","±5.9","847","±495","86.3%","±6.8","491","±163","81.0%","±9.4"
"        Bachelor's degree or higher","586","±293","36.9%","±9.4","471","±276","48.0%","±12.0","115","±62","19.0%","±8.4"
"    Hispanic or Latino Origin","1,384","±590","(X)","(X)","861","±568","(X)","(X)","523","±158","(X)","(X)"
"        High school graduate or higher","1,061","±469","76.7%","±7.1","722","±458","83.9%","±6.6","339","±130","64.8%","±13.9"
"        Bachelor's degree or higher","552","±291","39.9%","±11.0","433","±259","50.3%","±14.6","119","±79","22.8%","±13.7"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","12.5%","±8.1","(X)","(X)","1.0%","±1.5","(X)","(X)","18.6%","±12.0"
"    High school graduate (includes equivalency)","(X)","(X)","7.8%","±3.8","(X)","(X)","3.9%","±2.7","(X)","(X)","11.5%","±6.0"
"    Some college or associate's degree","(X)","(X)","3.2%","±1.4","(X)","(X)","2.3%","±1.4","(X)","(X)","3.9%","±2.2"
"    Bachelor's degree or higher","(X)","(X)","5.3%","±2.4","(X)","(X)","3.6%","±2.3","(X)","(X)","7.0%","±3.9"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","72,696","±4,222","(X)","(X)","89,338","±12,973","(X)","(X)","53,095","±6,936","(X)","(X)"
"        Less than high school graduate","12,389","±10,199","(X)","(X)","-","**","(X)","(X)","15,000","±10,410","(X)","(X)"
"        High school graduate (includes equivalency)","41,831","±7,292","(X)","(X)","49,933","±21,587","(X)","(X)","25,755","±4,829","(X)","(X)"
"        Some college or associate's degree","58,792","±7,956","(X)","(X)","77,672","±10,852","(X)","(X)","41,469","±3,089","(X)","(X)"
"        Bachelor's degree","82,527","±9,632","(X)","(X)","118,360","±8,634","(X)","(X)","59,591","±4,963","(X)","(X)"
"        Graduate or professional degree","100,906","±17,335","(X)","(X)","122,533","±16,449","(X)","(X)","82,790","±15,320","(X)","(X)"
