"Label (Grouping)","ZCTA5 40059!!Total!!Estimate","ZCTA5 40059!!Total!!Margin of Error","ZCTA5 40059!!Percent!!Estimate","ZCTA5 40059!!Percent!!Margin of Error","ZCTA5 40059!!Male!!Estimate","ZCTA5 40059!!Male!!Margin of Error","ZCTA5 40059!!Percent Male!!Estimate","ZCTA5 40059!!Percent Male!!Margin of Error","ZCTA5 40059!!Female!!Estimate","ZCTA5 40059!!Female!!Margin of Error","ZCTA5 40059!!Percent Female!!Estimate","ZCTA5 40059!!Percent Female!!Margin of Error"
"        High school graduate or higher","504","±158","100.0%","±7.2","275","±107","100.0%","±12.7","229","±100","100.0%","±15.1"
"        Bachelor's degree or higher","199","±86","39.5%","±15.5","108","±74","39.3%","±18.0","91","±63","39.7%","±24.6"
"    Hispanic or Latino Origin","395","±142","(X)","(X)","196","±72","(X)","(X)","199","±104","(X)","(X)"
"        High school graduate or higher","389","±141","98.5%","±1.9","192","±71","98.0%","±3.4","197","±104","99.0%","±1.9"
"        Bachelor's degree or higher","107","±66","27.1%","±15.7","45","±39","23.0%","±17.3","62","±55","31.2%","±23.5"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","24.4%","±28.2","(X)","(X)","38.5%","±36.8","(X)","(X)","15.7%","±23.9"
"    High school graduate (includes equivalency)","(X)","(X)","8.3%","±5.2","(X)","(X)","8.5%","±7.3","(X)","(X)","8.2%","±6.5"
"    Some college or associate's degree","(X)","(X)","3.0%","±2.5","(X)","(X)","0.5%","±0.7","(X)","(X)","4.8%","±4.3"
"    Bachelor's degree or higher","(X)","(X)","0.9%","±0.7","(X)","(X)","0.8%","±0.8","(X)","(X)","1.1%","±0.9"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","92,987","±9,694","(X)","(X)","127,326","±24,263","(X)","(X)","77,292","±14,722","(X)","(X)"
"        Less than high school graduate","2,500-","***","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)"
"        High school graduate (includes equivalency)","46,463","±28,057","(X)","(X)","-","**","(X)","(X)","46,250","±18,899","(X)","(X)"
"        Some college or associate's degree","58,788","±14,313","(X)","(X)","72,153","±20,446","(X)","(X)","48,714","±4,723","(X)","(X)"
"        Bachelor's degree","87,766","±6,861","(X)","(X)","89,154","±22,948","(X)","(X)","84,283","±6,293","(X)","(X)"
"        Graduate or professional degree","140,942","±8,036","(X)","(X)","202,652","±30,026","(X)","(X)","87,917","±27,047","(X)","(X)"
