"Label (Grouping)","ZCTA5 40217!!Total!!Estimate","ZCTA5 40217!!Total!!Margin of Error","ZCTA5 40217!!Percent!!Estimate","ZCTA5 40217!!Percent!!Margin of Error","ZCTA5 40217!!Male!!Estimate","ZCTA5 40217!!Male!!Margin of Error","ZCTA5 40217!!Percent Male!!Estimate","ZCTA5 40217!!Percent Male!!Margin of Error","ZCTA5 40217!!Female!!Estimate","ZCTA5 40217!!Female!!Margin of Error","ZCTA5 40217!!Percent Female!!Estimate","ZCTA5 40217!!Percent Female!!Margin of Error"
"    White alone, not Hispanic or Latino","7,700","±714","(X)","(X)","4,024","±414","(X)","(X)","3,676","±431","(X)","(X)"
"        High school graduate or higher","7,370","±692","95.7%","±2.5","3,885","±400","96.5%","±2.5","3,485","±416","94.8%","±3.0"
"        Bachelor's degree or higher","3,786","±493","49.2%","±4.6","1,981","±301","49.2%","±6.1","1,805","±332","49.1%","±7.2"
"    Black alone","509","±201","(X)","(X)","337","±176","(X)","(X)","172","±83","(X)","(X)"
"        High school graduate or higher","433","±164","85.1%","±13.3","311","±172","92.3%","±11.8","122","±75","70.9%","±37.4"
"        Bachelor's degree or higher","132","±101","25.9%","±16.9","97","±100","28.8%","±23.6","35","±33","20.3%","±18.6"
"    American Indian or Alaska Native alone","3","±5","(X)","(X)","2","±5","(X)","(X)","1","±2","(X)","(X)"
"        High school graduate or higher","2","±5","66.7%","±66.7","2","±5","100.0%","±100.0","0","±20","0.0%","±100.0"
"        Bachelor's degree or higher","0","±20","0.0%","±100.0","0","±20","0.0%","±100.0","0","±20","0.0%","±100.0"
"    Asian alone","275","±179","(X)","(X)","83","±56","(X)","(X)","192","±168","(X)","(X)"
"        High school graduate or higher","264","±177","96.0%","±8.1","78","±56","94.0%","±12.0","186","±167","96.9%","±8.6"
"        Bachelor's degree or higher","256","±180","93.1%","±11.9","78","±56","94.0%","±12.0","178","±168","92.7%","±15.7"
"    Native Hawaiian and Other Pacific Islander alone","0","±20","(X)","(X)","0","±20","(X)","(X)","0","±20","(X)","(X)"
"        High school graduate or higher","0","±20","-","**","0","±20","-","**","0","±20","-","**"
"        Bachelor's degree or higher","0","±20","-","**","0","±20","-","**","0","±20","-","**"
"    Some other race alone","141","±166","(X)","(X)","108","±148","(X)","(X)","33","±33","(X)","(X)"
"        High school graduate or higher","141","±166","100.0%","±23.1","108","±148","100.0%","±28.6","33","±33","100.0%","±55.5"
"        Bachelor's degree or higher","33","±33","23.4%","±26.8","0","±20","0.0%","±28.6","33","±33","100.0%","±55.5"
"    Two or more races","300","±117","(X)","(X)","159","±93","(X)","(X)","141","±71","(X)","(X)"
"        High school graduate or higher","289","±115","96.3%","±4.8","149","±91","93.7%","±9.3","140","±71","99.3%","±2.1"
"        Bachelor's degree or higher","155","±88","51.7%","±20.4","94","±71","59.1%","±30.0","61","±53","43.3%","±26.7"
"    Hispanic or Latino Origin","286","±185","(X)","(X)","168","±170","(X)","(X)","118","±74","(X)","(X)"
"        High school graduate or higher","259","±169","90.6%","±19.5","141","±155","83.9%","±35.6","118","±74","100.0%","±26.7"
"        Bachelor's degree or higher","124","±84","43.4%","±29.2","34","±57","20.2%","±33.2","90","±60","76.3%","±25.4"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","52.1%","±24.2","(X)","(X)","67.1%","±20.8","(X)","(X)","39.1%","±32.3"
"    High school graduate (includes equivalency)","(X)","(X)","8.1%","±4.2","(X)","(X)","6.5%","±5.5","(X)","(X)","10.8%","±8.1"
"    Some college or associate's degree","(X)","(X)","14.5%","±6.2","(X)","(X)","13.9%","±7.3","(X)","(X)","15.2%","±8.1"
"    Bachelor's degree or higher","(X)","(X)","6.6%","±4.6","(X)","(X)","11.7%","±8.4","(X)","(X)","1.3%","±1.1"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","52,950","±5,051","(X)","(X)","57,964","±4,216","(X)","(X)","47,882","±6,658","(X)","(X)"
"        Less than high school graduate","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)"
"        High school graduate (includes equivalency)","46,179","±10,588","(X)","(X)","51,964","±11,773","(X)","(X)","37,565","±20,768","(X)","(X)"
"        Some college or associate's degree","41,224","±7,641","(X)","(X)","48,552","±3,772","(X)","(X)","37,747","±4,833","(X)","(X)"
"        Bachelor's degree","56,233","±6,489","(X)","(X)","60,375","±4,114","(X)","(X)","52,059","±11,940","(X)","(X)"
"        Graduate or professional degree","78,581","±7,434","(X)","(X)","78,092","±10,420","(X)","(X)","80,072","±12,686","(X)","(X)"
