"Label (Grouping)","ZCTA5 40205!!Total!!Estimate","ZCTA5 40205!!Total!!Margin of Error","ZCTA5 40205!!Percent!!Estimate","ZCTA5 40205!!Percent!!Margin of Error","ZCTA5 40205!!Male!!Estimate","ZCTA5 40205!!Male!!Margin of Error","ZCTA5 40205!!Percent Male!!Estimate","ZCTA5 40205!!Percent Male!!Margin of Error","ZCTA5 40205!!Female!!Estimate","ZCTA5 40205!!Female!!Margin of Error","ZCTA5 40205!!Percent Female!!Estimate","ZCTA5 40205!!Percent Female!!Margin of Error"
"        Bachelor's degree or higher","131","±65","86.2%","±17.5","86","±54","85.1%","±24.3","45","±30","88.2%","±13.7"
"    Native Hawaiian and Other Pacific Islander alone","0","±24","(X)","(X)","0","±24","(X)","(X)","0","±24","(X)","(X)"
"        High school graduate or higher","0","±24","-","**","0","±24","-","**","0","±24","-","**"
"        Bachelor's degree or higher","0","±24","-","**","0","±24","-","**","0","±24","-","**"
"    Some other race alone","17","±15","(X)","(X)","16","±15","(X)","(X)","1","±3","(X)","(X)"
"        High school graduate or higher","9","±9","52.9%","±23.7","8","±8","50.0%","±19.8","1","±3","100.0%","±100.0"
"        Bachelor's degree or higher","1","±3","5.9%","±21.9","0","±24","0.0%","±79.6","1","±3","100.0%","±100.0"
"    Two or more races","449","±124","(X)","(X)","186","±64","(X)","(X)","263","±88","(X)","(X)"
"        High school graduate or higher","403","±111","89.8%","±7.5","168","±60","90.3%","±9.8","235","±85","89.4%","±10.2"
"        Bachelor's degree or higher","270","±94","60.1%","±12.7","118","±47","63.4%","±15.1","152","±72","57.8%","±16.9"
"    Hispanic or Latino Origin","214","±76","(X)","(X)","93","±42","(X)","(X)","121","±66","(X)","(X)"
"        High school graduate or higher","204","±74","95.3%","±4.0","83","±40","89.2%","±9.8","121","±66","100.0%","±26.1"
"        Bachelor's degree or higher","150","±66","70.1%","±15.4","57","±38","61.3%","±25.0","93","±62","76.9%","±20.1"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","39.0%","±20.9","(X)","(X)","46.3%","±27.9","(X)","(X)","27.2%","±23.3"
"    High school graduate (includes equivalency)","(X)","(X)","5.0%","±2.5","(X)","(X)","6.0%","±4.4","(X)","(X)","4.0%","±3.3"
"    Some college or associate's degree","(X)","(X)","8.5%","±3.3","(X)","(X)","9.6%","±4.7","(X)","(X)","7.2%","±4.8"
"    Bachelor's degree or higher","(X)","(X)","3.3%","±1.1","(X)","(X)","3.7%","±1.7","(X)","(X)","2.9%","±1.4"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","66,537","±4,560","(X)","(X)","72,584","±5,923","(X)","(X)","58,648","±5,218","(X)","(X)"
"        Less than high school graduate","32,813","±19,030","(X)","(X)","46,161","±27,367","(X)","(X)","-","**","(X)","(X)"
"        High school graduate (includes equivalency)","35,772","±3,371","(X)","(X)","39,070","±4,060","(X)","(X)","24,500","±12,662","(X)","(X)"
"        Some college or associate's degree","45,663","±7,531","(X)","(X)","46,250","±7,097","(X)","(X)","42,143","±21,856","(X)","(X)"
"        Bachelor's degree","67,204","±7,118","(X)","(X)","80,616","±11,306","(X)","(X)","51,821","±8,483","(X)","(X)"
"        Graduate or professional degree","83,924","±2,912","(X)","(X)","95,982","±19,211","(X)","(X)","78,750","±8,763","(X)","(X)"
