"Label (Grouping)","ZCTA5 40210!!Total!!Estimate","ZCTA5 40210!!Total!!Margin of Error","ZCTA5 40210!!Percent!!Estimate","ZCTA5 40210!!Percent!!Margin of Error","ZCTA5 40210!!Male!!Estimate","ZCTA5 40210!!Male!!Margin of Error","ZCTA5 40210!!Percent Male!!Estimate","ZCTA5 40210!!Percent Male!!Margin of Error","ZCTA5 40210!!Female!!Estimate","ZCTA5 40210!!Female!!Margin of Error","ZCTA5 40210!!Percent Female!!Estimate","ZCTA5 40210!!Percent Female!!Margin of Error"
"    Population 35 to 44 years","1,631","±321","(X)","(X)","662","±200","(X)","(X)","969","±262","(X)","(X)"
"        High school graduate or higher","1,169","±312","71.7%","±10.4","406","±186","61.3%","±15.6","763","±239","78.7%","±11.5"
"        Bachelor's degree or higher","76","±57","4.7%","±3.5","0","±20","0.0%","±5.5","76","±57","7.8%","±6.2"
"    Population 45 to 64 years","3,138","±419","(X)","(X)","1,194","±253","(X)","(X)","1,944","±349","(X)","(X)"
"        High school graduate or higher","2,546","±392","81.1%","±4.9","1,031","±226","86.3%","±5.4","1,515","±324","77.9%","±7.4"
"        Bachelor's degree or higher","356","±161","11.3%","±4.6","107","±67","9.0%","±5.7","249","±132","12.8%","±6.2"
"    Population 65 years and over","2,215","±324","(X)","(X)","843","±200","(X)","(X)","1,372","±236","(X)","(X)"
"        High school graduate or higher","1,759","±268","79.4%","±8.3","685","±194","81.3%","±9.4","1,074","±178","78.3%","±13.0"
"        Bachelor's degree or higher","341","±133","15.4%","±5.5","146","±104","17.3%","±11.8","195","±88","14.2%","±6.5"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","1,053","±301","(X)","(X)","369","±121","(X)","(X)","684","±251","(X)","(X)"
"        High school graduate or higher","830","±249","78.8%","±11.5","283","±94","76.7%","±14.8","547","±225","80.0%","±13.7"
"        Bachelor's degree or higher","122","±75","11.6%","±7.1","54","±50","14.6%","±13.0","68","±60","9.9%","±8.2"
"    White alone, not Hispanic or Latino","914","±281","(X)","(X)","307","±110","(X)","(X)","607","±237","(X)","(X)"
"        High school graduate or higher","766","±262","83.8%","±7.2","245","±86","79.8%","±13.1","521","±234","85.8%","±10.2"
"        Bachelor's degree or higher","84","±60","9.2%","±6.2","16","±15","5.2%","±5.3","68","±60","11.2%","±9.1"
"    Black alone","7,342","±809","(X)","(X)","2,921","±462","(X)","(X)","4,421","±539","(X)","(X)"
"        High school graduate or higher","6,012","±770","81.9%","±4.0","2,457","±455","84.1%","±5.0","3,555","±479","80.4%","±5.4"
"        Bachelor's degree or higher","745","±246","10.1%","±3.1","237","±128","8.1%","±4.4","508","±220","11.5%","±4.6"
"    American Indian or Alaska Native alone","11","±17","(X)","(X)","0","±20","(X)","(X)","11","±17","(X)","(X)"
"        High school graduate or higher","11","±17","100.0%","±96.0","0","±20","-","**","11","±17","100.0%","±96.0"
"        Bachelor's degree or higher","0","±20","0.0%","±96.0","0","±20","-","**","0","±20","0.0%","±96.0"
"    Asian alone","0","±20","(X)","(X)","0","±20","(X)","(X)","0","±20","(X)","(X)"
"        High school graduate or higher","0","±20","-","**","0","±20","-","**","0","±20","-","**"
"        Bachelor's degree or higher","0","±20","-","**","0","±20","-","**","0","±20","-","**"
"    Native Hawaiian and Other Pacific Islander alone","5","±8","(X)","(X)","0","±20","(X)","(X)","5","±8","(X)","(X)"
"        High school graduate or higher","5","±8","100.0%","±100.0","0","±20","-","**","5","±8","100.0%","±100.0"
"        Bachelor's degree or higher","0","±20","0.0%","±100.0","0","±20","-","**","0","±20","0.0%","±100.0"
"    Some other race alone","77","±88","(X)","(X)","43","±46","(X)","(X)","34","±44","(X)","(X)"
"        High school graduate or higher","8","±16","10.4%","±29.2","8","±16","18.6%","±42.7","0","±20","0.0%","±54.6"
"        Bachelor's degree or higher","0","±20","0.0%","±36.1","0","±20","0.0%","±48.6","0","±20","0.0%","±54.6"
"    Two or more races","351","±138","(X)","(X)","115","±47","(X)","(X)","236","±125","(X)","(X)"
"        High school graduate or higher","283","±139","80.6%","±8.3","47","±47","40.9%","±26.0","236","±125","100.0%","±14.7"
"        Bachelor's degree or higher","21","±24","6.0%","±7.1","0","±20","0.0%","±27.2","21","±24","8.9%","±11.1"
"    Hispanic or Latino Origin","236","±154","(X)","(X)","102","±74","(X)","(X)","134","±98","(X)","(X)"
"        High school graduate or higher","92","±68","39.0%","±34.5","43","±47","42.2%","±38.1","49","±43","36.6%","±37.8"
"        Bachelor's degree or higher","49","±54","20.8%","±25.6","38","±46","37.3%","±36.7","11","±18","8.2%","±16.3"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","60.5%","±10.8","(X)","(X)","50.2%","±13.3","(X)","(X)","67.1%","±12.3"
"    High school graduate (includes equivalency)","(X)","(X)","32.4%","±6.5","(X)","(X)","21.4%","±7.8","(X)","(X)","41.4%","±8.5"
"    Some college or associate's degree","(X)","(X)","21.0%","±5.8","(X)","(X)","10.3%","±6.6","(X)","(X)","26.9%","±6.9"
"    Bachelor's degree or higher","(X)","(X)","6.0%","±4.9","(X)","(X)","2.1%","±3.6","(X)","(X)","7.9%","±7.5"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","28,662","±6,485","(X)","(X)","37,580","±6,299","(X)","(X)","24,732","±3,582","(X)","(X)"
"        Less than high school graduate","14,243","±2,628","(X)","(X)","-","**","(X)","(X)","13,194","±2,527","(X)","(X)"
"        High school graduate (includes equivalency)","30,699","±13,540","(X)","(X)","35,625","±17,918","(X)","(X)","30,184","±17,813","(X)","(X)"
"        Some college or associate's degree","31,042","±13,888","(X)","(X)","45,091","±11,349","(X)","(X)","24,678","±5,440","(X)","(X)"
"        Bachelor's degree","33,438","±8,748","(X)","(X)","43,713","±25,931","(X)","(X)","29,681","±6,903","(X)","(X)"
"        Graduate or professional degree","44,481","±16,876","(X)","(X)","55,385","±17,710","(X)","(X)","44,145","±23,106","(X)","(X)"
