"Label (Grouping)","ZCTA5 40258!!Total!!Estimate","ZCTA5 40258!!Total!!Margin of Error","ZCTA5 40258!!Percent!!Estimate","ZCTA5 40258!!Percent!!Margin of Error","ZCTA5 40258!!Male!!Estimate","ZCTA5 40258!!Male!!Margin of Error","ZCTA5 40258!!Percent Male!!Estimate","ZCTA5 40258!!Percent Male!!Margin of Error","ZCTA5 40258!!Female!!Estimate","ZCTA5 40258!!Female!!Margin of Error","ZCTA5 40258!!Percent Female!!Estimate","ZCTA5 40258!!Percent Female!!Margin of Error"
"        Bachelor's degree or higher","42","±55","17.4%","±14.7","4","±8","6.8%","±15.4","38","±55","20.8%","±17.9"
"    Two or more races","1,175","±292","(X)","(X)","705","±236","(X)","(X)","470","±177","(X)","(X)"
"        High school graduate or higher","880","±261","74.9%","±12.3","610","±226","86.5%","±9.5","270","±99","57.4%","±20.6"
"        Bachelor's degree or higher","48","±34","4.1%","±2.9","14","±16","2.0%","±2.4","34","±24","7.2%","±5.4"
"    Hispanic or Latino Origin","645","±259","(X)","(X)","354","±165","(X)","(X)","291","±138","(X)","(X)"
"        High school graduate or higher","495","±209","76.7%","±9.9","298","±155","84.2%","±15.2","197","±119","67.7%","±22.3"
"        Bachelor's degree or higher","101","±81","15.7%","±10.8","55","±71","15.5%","±16.5","46","±35","15.8%","±10.8"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","32.9%","±14.2","(X)","(X)","26.9%","±10.4","(X)","(X)","38.4%","±22.5"
"    High school graduate (includes equivalency)","(X)","(X)","11.1%","±3.4","(X)","(X)","10.7%","±4.9","(X)","(X)","11.6%","±4.8"
"    Some college or associate's degree","(X)","(X)","10.2%","±3.3","(X)","(X)","8.8%","±4.8","(X)","(X)","11.5%","±5.1"
"    Bachelor's degree or higher","(X)","(X)","7.1%","±5.3","(X)","(X)","1.1%","±2.5","(X)","(X)","10.1%","±7.7"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","45,393","±3,560","(X)","(X)","52,369","±4,186","(X)","(X)","41,477","±3,070","(X)","(X)"
"        Less than high school graduate","22,477","±15,623","(X)","(X)","44,886","±19,770","(X)","(X)","21,092","±11,668","(X)","(X)"
"        High school graduate (includes equivalency)","41,851","±2,875","(X)","(X)","43,916","±4,709","(X)","(X)","37,338","±10,569","(X)","(X)"
"        Some college or associate's degree","48,177","±4,600","(X)","(X)","56,518","±6,419","(X)","(X)","43,000","±3,968","(X)","(X)"
"        Bachelor's degree","63,588","±4,687","(X)","(X)","62,353","±3,094","(X)","(X)","65,421","±16,741","(X)","(X)"
"        Graduate or professional degree","75,593","±27,729","(X)","(X)","56,815","±13,640","(X)","(X)","76,695","±14,002","(X)","(X)"
