"Label (Grouping)","ZCTA5 40041!!Total!!Estimate","ZCTA5 40041!!Total!!Margin of Error","ZCTA5 40041!!Percent!!Estimate","ZCTA5 40041!!Percent!!Margin of Error","ZCTA5 40041!!Male!!Estimate","ZCTA5 40041!!Male!!Margin of Error","ZCTA5 40041!!Percent Male!!Estimate","ZCTA5 40041!!Percent Male!!Margin of Error","ZCTA5 40041!!Female!!Estimate","ZCTA5 40041!!Female!!Margin of Error","ZCTA5 40041!!Percent Female!!Estimate","ZCTA5 40041!!Percent Female!!Margin of Error"
"        Bachelor's degree or higher","218","±92","42.1%","±9.8","111","±83","72.5%","±21.1","107","±49","29.3%","±15.9"
"    Population 25 to 34 years","0","±13","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)"
"        High school graduate or higher","0","±13","-","**","0","±13","-","**","0","±13","-","**"
"        Bachelor's degree or higher","0","±13","-","**","0","±13","-","**","0","±13","-","**"
"    Population 35 to 44 years","0","±13","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)"
"        High school graduate or higher","0","±13","-","**","0","±13","-","**","0","±13","-","**"
"        Bachelor's degree or higher","0","±13","-","**","0","±13","-","**","0","±13","-","**"
"    Population 45 to 64 years","20","±34","(X)","(X)","17","±35","(X)","(X)","3","±6","(X)","(X)"
"        High school graduate or higher","20","±34","100.0%","±71.2","17","±35","100.0%","±77.3","3","±6","100.0%","±100.0"
"        Bachelor's degree or higher","0","±13","0.0%","±71.2","0","±13","0.0%","±77.3","0","±13","0.0%","±100.0"
"    Population 65 years and over","498","±218","(X)","(X)","136","±84","(X)","(X)","362","±150","(X)","(X)"
"        High school graduate or higher","488","±218","98.0%","±2.3","136","±84","100.0%","±23.8","352","±149","97.2%","±3.0"
"        Bachelor's degree or higher","218","±92","43.8%","±10.7","111","±83","81.6%","±22.7","107","±49","29.6%","±16.0"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","473","±220","(X)","(X)","144","±86","(X)","(X)","329","±154","(X)","(X)"
"        High school graduate or higher","463","±220","97.9%","±2.4","144","±86","100.0%","±22.7","319","±153","97.0%","±3.4"
"        Bachelor's degree or higher","208","±91","44.0%","±10.0","111","±83","77.1%","±19.8","97","±54","29.5%","±17.9"
"    White alone, not Hispanic or Latino","473","±220","(X)","(X)","144","±86","(X)","(X)","329","±154","(X)","(X)"
"        High school graduate or higher","463","±220","97.9%","±2.4","144","±86","100.0%","±22.7","319","±153","97.0%","±3.4"
"        Bachelor's degree or higher","208","±91","44.0%","±10.0","111","±83","77.1%","±19.8","97","±54","29.5%","±17.9"
"    Black alone","36","±36","(X)","(X)","9","±18","(X)","(X)","27","±33","(X)","(X)"
"        High school graduate or higher","36","±36","100.0%","±53.1","9","±18","100.0%","±100.0","27","±33","100.0%","±61.3"
"        Bachelor's degree or higher","10","±21","27.8%","±60.0","0","±13","0.0%","±100.0","10","±21","37.0%","±63.0"
"    American Indian or Alaska Native alone","8","±18","(X)","(X)","0","±13","(X)","(X)","8","±18","(X)","(X)"
"        High school graduate or higher","8","±18","100.0%","±100.0","0","±13","-","**","8","±18","100.0%","±100.0"
"        Bachelor's degree or higher","0","±13","0.0%","±100.0","0","±13","-","**","0","±13","0.0%","±100.0"
"    Asian alone","0","±13","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)"
"        High school graduate or higher","0","±13","-","**","0","±13","-","**","0","±13","-","**"
"        Bachelor's degree or higher","0","±13","-","**","0","±13","-","**","0","±13","-","**"
"    Native Hawaiian and Other Pacific Islander alone","0","±13","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)"
"        High school graduate or higher","0","±13","-","**","0","±13","-","**","0","±13","-","**"
"        Bachelor's degree or higher","0","±13","-","**","0","±13","-","**","0","±13","-","**"
"    Some other race alone","0","±13","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)"
"        High school graduate or higher","0","±13","-","**","0","±13","-","**","0","±13","-","**"
"        Bachelor's degree or higher","0","±13","-","**","0","±13","-","**","0","±13","-","**"
"    Two or more races","1","±3","(X)","(X)","0","±13","(X)","(X)","1","±3","(X)","(X)"
"        High school graduate or higher","1","±3","100.0%","±100.0","0","±13","-","**","1","±3","100.0%","±100.0"
"        Bachelor's degree or higher","0","±13","0.0%","±100.0","0","±13","-","**","0","±13","0.0%","±100.0"
"    Hispanic or Latino Origin","0","±13","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)"
"        High school graduate or higher","0","±13","-","**","0","±13","-","**","0","±13","-","**"
"        Bachelor's degree or higher","0","±13","-","**","0","±13","-","**","0","±13","-","**"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","-","**"
"    High school graduate (includes equivalency)","(X)","(X)","19.6%","±34.4","(X)","(X)","-","**","(X)","(X)","19.6%","±34.4"
"    Some college or associate's degree","(X)","(X)","4.9%","±9.1","(X)","(X)","0.0%","±85.1","(X)","(X)","5.4%","±10.1"
"    Bachelor's degree or higher","(X)","(X)","15.8%","±21.5","(X)","(X)","7.8%","±18.4","(X)","(X)","27.4%","±36.1"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)"
"        Less than high school graduate","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)"
"        High school graduate (includes equivalency)","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)"
"        Some college or associate's degree","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)"
"        Bachelor's degree","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)"
"        Graduate or professional degree","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)"
