"Label (Grouping)","ZCTA5 40214!!Total!!Estimate","ZCTA5 40214!!Total!!Margin of Error","ZCTA5 40214!!Percent!!Estimate","ZCTA5 40214!!Percent!!Margin of Error","ZCTA5 40214!!Male!!Estimate","ZCTA5 40214!!Male!!Margin of Error","ZCTA5 40214!!Percent Male!!Estimate","ZCTA5 40214!!Percent Male!!Margin of Error","ZCTA5 40214!!Female!!Estimate","ZCTA5 40214!!Female!!Margin of Error","ZCTA5 40214!!Percent Female!!Estimate","ZCTA5 40214!!Percent Female!!Margin of Error"
"        High school graduate or higher","10,133","±935","85.1%","±2.7","4,823","±663","82.1%","±4.6","5,310","±547","88.0%","±2.8"
"        Bachelor's degree or higher","2,493","±425","20.9%","±3.1","1,049","±210","17.9%","±3.5","1,444","±298","23.9%","±4.3"
"    Population 65 years and over","6,000","±458","(X)","(X)","2,585","±345","(X)","(X)","3,415","±278","(X)","(X)"
"        High school graduate or higher","5,351","±482","89.2%","±2.6","2,329","±348","90.1%","±4.1","3,022","±277","88.5%","±3.4"
"        Bachelor's degree or higher","1,115","±245","18.6%","±3.9","426","±162","16.5%","±6.1","689","±185","20.2%","±5.1"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","18,844","±1,059","(X)","(X)","9,389","±727","(X)","(X)","9,455","±579","(X)","(X)"
"        High school graduate or higher","16,878","±952","89.6%","±1.9","8,354","±646","89.0%","±3.1","8,524","±569","90.2%","±2.3"
"        Bachelor's degree or higher","4,431","±508","23.5%","±2.6","1,954","±307","20.8%","±3.2","2,477","±339","26.2%","±3.3"
"    White alone, not Hispanic or Latino","17,840","±1,010","(X)","(X)","8,848","±677","(X)","(X)","8,992","±592","(X)","(X)"
"        High school graduate or higher","16,263","±921","91.2%","±1.8","8,004","±613","90.5%","±3.2","8,259","±587","91.8%","±2.0"
"        Bachelor's degree or higher","4,321","±501","24.2%","±2.6","1,877","±295","21.2%","±3.3","2,444","±340","27.2%","±3.4"
"    Black alone","5,792","±1,058","(X)","(X)","2,836","±857","(X)","(X)","2,956","±486","(X)","(X)"
"        High school graduate or higher","5,058","±1,137","87.3%","±5.0","2,586","±881","91.2%","±5.2","2,472","±481","83.6%","±5.4"
"        Bachelor's degree or higher","940","±295","16.2%","±5.1","415","±142","14.6%","±6.3","525","±222","17.8%","±7.0"
"    American Indian or Alaska Native alone","6","±10","(X)","(X)","3","±5","(X)","(X)","3","±5","(X)","(X)"
"        High school graduate or higher","2","±5","33.3%","±66.7","0","±27","0.0%","±100.0","2","±5","66.7%","±66.7"
"        Bachelor's degree or higher","0","±27","0.0%","±100.0","0","±27","0.0%","±100.0","0","±27","0.0%","±100.0"
"    Asian alone","1,713","±362","(X)","(X)","768","±204","(X)","(X)","945","±227","(X)","(X)"
"        High school graduate or higher","1,142","±323","66.7%","±9.7","499","±182","65.0%","±13.1","643","±209","68.0%","±11.2"
"        Bachelor's degree or higher","554","±234","32.3%","±11.8","200","±105","26.0%","±13.0","354","±183","37.5%","±15.9"
"    Native Hawaiian and Other Pacific Islander alone","14","±19","(X)","(X)","5","±10","(X)","(X)","9","±15","(X)","(X)"
"        High school graduate or higher","9","±15","64.3%","±45.1","0","±27","0.0%","±100.0","9","±15","100.0%","±100.0"
"        Bachelor's degree or higher","0","±27","0.0%","±85.1","0","±27","0.0%","±100.0","0","±27","0.0%","±100.0"
"    Some other race alone","1,158","±528","(X)","(X)","701","±347","(X)","(X)","457","±231","(X)","(X)"
"        High school graduate or higher","763","±386","65.9%","±13.3","394","±204","56.2%","±16.4","369","±215","80.7%","±14.3"
"        Bachelor's degree or higher","219","±183","18.9%","±10.3","43","±46","6.1%","±6.8","176","±167","38.5%","±21.6"
"    Two or more races","2,866","±699","(X)","(X)","1,367","±465","(X)","(X)","1,499","±368","(X)","(X)"
"        High school graduate or higher","2,030","±509","70.8%","±7.1","919","±327","67.2%","±11.1","1,111","±351","74.1%","±11.6"
"        Bachelor's degree or higher","718","±279","25.1%","±9.4","173","±105","12.7%","±7.5","545","±262","36.4%","±14.1"
"    Hispanic or Latino Origin","3,925","±767","(X)","(X)","2,209","±520","(X)","(X)","1,716","±361","(X)","(X)"
"        High school graduate or higher","2,490","±540","63.4%","±6.6","1,306","±327","59.1%","±9.4","1,184","±335","69.0%","±11.0"
"        Bachelor's degree or higher","718","±275","18.3%","±6.2","260","±110","11.8%","±5.3","458","±230","26.7%","±10.7"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","34.4%","±7.5","(X)","(X)","32.2%","±9.2","(X)","(X)","36.7%","±10.5"
"    High school graduate (includes equivalency)","(X)","(X)","16.5%","±3.8","(X)","(X)","15.3%","±5.0","(X)","(X)","17.9%","±4.8"
"    Some college or associate's degree","(X)","(X)","13.0%","±3.4","(X)","(X)","9.3%","±5.1","(X)","(X)","16.8%","±5.2"
"    Bachelor's degree or higher","(X)","(X)","5.6%","±2.1","(X)","(X)","8.2%","±3.3","(X)","(X)","3.9%","±2.8"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","40,651","±1,384","(X)","(X)","44,784","±4,876","(X)","(X)","36,454","±1,780","(X)","(X)"
"        Less than high school graduate","30,578","±3,530","(X)","(X)","28,612","±8,444","(X)","(X)","34,688","±4,720","(X)","(X)"
"        High school graduate (includes equivalency)","37,014","±4,481","(X)","(X)","41,691","±7,165","(X)","(X)","30,314","±3,368","(X)","(X)"
"        Some college or associate's degree","41,404","±2,417","(X)","(X)","46,047","±7,674","(X)","(X)","34,580","±6,667","(X)","(X)"
"        Bachelor's degree","47,229","±4,913","(X)","(X)","60,539","±5,803","(X)","(X)","39,583","±6,551","(X)","(X)"
"        Graduate or professional degree","67,135","±5,499","(X)","(X)","65,536","±11,262","(X)","(X)","68,261","±11,705","(X)","(X)"
