"Label (Grouping)","ZCTA5 40067!!Total!!Estimate","ZCTA5 40067!!Total!!Margin of Error","ZCTA5 40067!!Percent!!Estimate","ZCTA5 40067!!Percent!!Margin of Error","ZCTA5 40067!!Male!!Estimate","ZCTA5 40067!!Male!!Margin of Error","ZCTA5 40067!!Percent Male!!Estimate","ZCTA5 40067!!Percent Male!!Margin of Error","ZCTA5 40067!!Female!!Estimate","ZCTA5 40067!!Female!!Margin of Error","ZCTA5 40067!!Percent Female!!Estimate","ZCTA5 40067!!Percent Female!!Margin of Error"
"        Bachelor's degree or higher","685","±172","39.7%","±8.9","281","±87","34.5%","±10.6","404","±136","44.4%","±12.3"
"    Population 65 years and over","1,103","±139","(X)","(X)","534","±95","(X)","(X)","569","±98","(X)","(X)"
"        High school graduate or higher","1,057","±142","95.8%","±3.2","498","±89","93.3%","±5.0","559","±101","98.2%","±2.2"
"        Bachelor's degree or higher","359","±98","32.5%","±8.3","213","±66","39.9%","±12.0","146","±52","25.7%","±8.9"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","3,999","±453","(X)","(X)","1,988","±270","(X)","(X)","2,011","±253","(X)","(X)"
"        High school graduate or higher","3,787","±477","94.7%","±2.8","1,848","±274","93.0%","±4.2","1,939","±262","96.4%","±2.2"
"        Bachelor's degree or higher","1,621","±280","40.5%","±5.0","670","±134","33.7%","±6.9","951","±231","47.3%","±8.0"
"    White alone, not Hispanic or Latino","3,902","±456","(X)","(X)","1,915","±264","(X)","(X)","1,987","±252","(X)","(X)"
"        High school graduate or higher","3,735","±470","95.7%","±2.2","1,811","±268","94.6%","±2.7","1,924","±261","96.8%","±2.1"
"        Bachelor's degree or higher","1,621","±280","41.5%","±5.2","670","±134","35.0%","±7.4","951","±231","47.9%","±8.1"
"    Black alone","96","±71","(X)","(X)","51","±47","(X)","(X)","45","±32","(X)","(X)"
"        High school graduate or higher","96","±71","100.0%","±31.2","51","±47","100.0%","±44.6","45","±32","100.0%","±47.5"
"        Bachelor's degree or higher","28","±19","29.2%","±23.5","9","±11","17.6%","±29.6","19","±18","42.2%","±26.4"
"    American Indian or Alaska Native alone","8","±13","(X)","(X)","0","±18","(X)","(X)","8","±13","(X)","(X)"
"        High school graduate or higher","8","±13","100.0%","±100.0","0","±18","-","**","8","±13","100.0%","±100.0"
"        Bachelor's degree or higher","0","±18","0.0%","±100.0","0","±18","-","**","0","±18","0.0%","±100.0"
"    Asian alone","15","±25","(X)","(X)","15","±25","(X)","(X)","0","±18","(X)","(X)"
"        High school graduate or higher","15","±25","100.0%","±82.2","15","±25","100.0%","±82.2","0","±18","-","**"
"        Bachelor's degree or higher","15","±25","100.0%","±82.2","15","±25","100.0%","±82.2","0","±18","-","**"
"    Native Hawaiian and Other Pacific Islander alone","0","±18","(X)","(X)","0","±18","(X)","(X)","0","±18","(X)","(X)"
"        High school graduate or higher","0","±18","-","**","0","±18","-","**","0","±18","-","**"
"        Bachelor's degree or higher","0","±18","-","**","0","±18","-","**","0","±18","-","**"
"    Some other race alone","85","±69","(X)","(X)","35","±34","(X)","(X)","50","±46","(X)","(X)"
"        High school graduate or higher","85","±69","100.0%","±33.9","35","±34","100.0%","±53.8","50","±46","100.0%","±45.1"
"        Bachelor's degree or higher","6","±9","7.1%","±8.6","0","±18","0.0%","±53.8","6","±9","12.0%","±15.1"
"    Two or more races","264","±150","(X)","(X)","141","±87","(X)","(X)","123","±115","(X)","(X)"
"        High school graduate or higher","227","±142","86.0%","±12.6","110","±78","78.0%","±20.5","117","±115","95.1%","±9.3"
"        Bachelor's degree or higher","49","±38","18.6%","±13.9","38","±36","27.0%","±21.3","11","±14","8.9%","±14.2"
"    Hispanic or Latino Origin","232","±149","(X)","(X)","162","±123","(X)","(X)","70","±49","(X)","(X)"
"        High school graduate or higher","155","±95","66.8%","±22.8","97","±67","59.9%","±29.5","58","±45","82.9%","±18.2"
"        Bachelor's degree or higher","21","±25","9.1%","±10.7","19","±25","11.7%","±14.6","2","±5","2.9%","±6.9"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","7.6%","±10.6","(X)","(X)","5.8%","±12.5","(X)","(X)","11.5%","±18.2"
"    High school graduate (includes equivalency)","(X)","(X)","4.4%","±3.9","(X)","(X)","4.6%","±6.5","(X)","(X)","4.2%","±3.9"
"    Some college or associate's degree","(X)","(X)","4.4%","±3.2","(X)","(X)","2.7%","±4.0","(X)","(X)","7.0%","±5.3"
"    Bachelor's degree or higher","(X)","(X)","1.5%","±1.5","(X)","(X)","2.3%","±2.3","(X)","(X)","0.9%","±1.2"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","57,552","±7,928","(X)","(X)","59,490","±5,314","(X)","(X)","50,391","±7,151","(X)","(X)"
"        Less than high school graduate","38,229","±22,279","(X)","(X)","37,917","±25,025","(X)","(X)","-","**","(X)","(X)"
"        High school graduate (includes equivalency)","31,847","±10,152","(X)","(X)","35,809","±25,207","(X)","(X)","30,873","±5,122","(X)","(X)"
"        Some college or associate's degree","55,096","±8,423","(X)","(X)","58,565","±1,486","(X)","(X)","46,014","±7,568","(X)","(X)"
"        Bachelor's degree","62,023","±6,017","(X)","(X)","91,518","±23,499","(X)","(X)","61,002","±3,421","(X)","(X)"
"        Graduate or professional degree","92,683","±13,729","(X)","(X)","113,208","±24,008","(X)","(X)","70,125","±23,205","(X)","(X)"
