"Label (Grouping)","ZCTA5 40229!!Total!!Estimate","ZCTA5 40229!!Total!!Margin of Error","ZCTA5 40229!!Percent!!Estimate","ZCTA5 40229!!Percent!!Margin of Error","ZCTA5 40229!!Male!!Estimate","ZCTA5 40229!!Male!!Margin of Error","ZCTA5 40229!!Percent Male!!Estimate","ZCTA5 40229!!Percent Male!!Margin of Error","ZCTA5 40229!!Female!!Estimate","ZCTA5 40229!!Female!!Margin of Error","ZCTA5 40229!!Percent Female!!Estimate","ZCTA5 40229!!Percent Female!!Margin of Error"
"        High school graduate or higher","19,881","±1,470","91.1%","±1.6","9,888","±905","90.4%","±2.5","9,993","±755","91.8%","±1.7"
"        Bachelor's degree or higher","4,911","±713","22.5%","±2.9","2,673","±545","24.4%","±4.2","2,238","±333","20.6%","±3.1"
"    White alone, not Hispanic or Latino","21,214","±1,474","(X)","(X)","10,542","±873","(X)","(X)","10,672","±761","(X)","(X)"
"        High school graduate or higher","19,413","±1,369","91.5%","±1.4","9,565","±848","90.7%","±2.5","9,848","±717","92.3%","±1.6"
"        Bachelor's degree or higher","4,709","±662","22.2%","±2.8","2,495","±481","23.7%","±4.0","2,214","±328","20.7%","±3.0"
"    Black alone","2,669","±812","(X)","(X)","1,427","±498","(X)","(X)","1,242","±391","(X)","(X)"
"        High school graduate or higher","2,539","±802","95.1%","±3.3","1,330","±496","93.2%","±6.5","1,209","±381","97.3%","±3.0"
"        Bachelor's degree or higher","798","±411","29.9%","±9.6","170","±98","11.9%","±7.8","628","±374","50.6%","±19.0"
"    American Indian or Alaska Native alone","0","±27","(X)","(X)","0","±27","(X)","(X)","0","±27","(X)","(X)"
"        High school graduate or higher","0","±27","-","**","0","±27","-","**","0","±27","-","**"
"        Bachelor's degree or higher","0","±27","-","**","0","±27","-","**","0","±27","-","**"
"    Asian alone","517","±305","(X)","(X)","306","±267","(X)","(X)","211","±109","(X)","(X)"
"        High school graduate or higher","379","±225","73.3%","±19.6","212","±160","69.3%","±22.6","167","±115","79.1%","±27.5"
"        Bachelor's degree or higher","240","±165","46.4%","±14.9","161","±134","52.6%","±17.4","79","±80","37.4%","±26.6"
"    Native Hawaiian and Other Pacific Islander alone","6","±9","(X)","(X)","0","±27","(X)","(X)","6","±9","(X)","(X)"
"        High school graduate or higher","0","±27","0.0%","±100.0","0","±27","-","**","0","±27","0.0%","±100.0"
"        Bachelor's degree or higher","0","±27","0.0%","±100.0","0","±27","-","**","0","±27","0.0%","±100.0"
"    Some other race alone","825","±467","(X)","(X)","356","±252","(X)","(X)","469","±244","(X)","(X)"
"        High school graduate or higher","757","±468","91.8%","±8.7","323","±252","90.7%","±11.6","434","±243","92.5%","±7.7"
"        Bachelor's degree or higher","106","±86","12.8%","±12.6","24","±25","6.7%","±8.3","82","±78","17.5%","±17.7"
"    Two or more races","2,157","±561","(X)","(X)","994","±308","(X)","(X)","1,163","±338","(X)","(X)"
"        High school graduate or higher","1,262","±304","58.5%","±15.4","462","±182","46.5%","±17.5","800","±222","68.8%","±16.7"
"        Bachelor's degree or higher","633","±227","29.3%","±11.0","129","±88","13.0%","±9.1","504","±214","43.3%","±15.8"
"    Hispanic or Latino Origin","2,737","±631","(X)","(X)","1,349","±376","(X)","(X)","1,388","±347","(X)","(X)"
"        High school graduate or higher","1,737","±453","63.5%","±14.9","799","±312","59.2%","±17.3","938","±256","67.6%","±15.8"
"        Bachelor's degree or higher","651","±217","23.8%","±9.4","268","±218","19.9%","±14.9","383","±153","27.6%","±12.7"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","28.4%","±9.3","(X)","(X)","28.0%","±13.1","(X)","(X)","29.0%","±9.4"
"    High school graduate (includes equivalency)","(X)","(X)","9.4%","±3.0","(X)","(X)","6.0%","±3.3","(X)","(X)","13.3%","±4.5"
"    Some college or associate's degree","(X)","(X)","6.2%","±2.4","(X)","(X)","3.5%","±2.0","(X)","(X)","8.5%","±4.0"
"    Bachelor's degree or higher","(X)","(X)","4.8%","±3.4","(X)","(X)","3.7%","±4.2","(X)","(X)","5.8%","±4.7"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","46,418","±2,275","(X)","(X)","55,107","±2,565","(X)","(X)","39,351","±2,743","(X)","(X)"
"        Less than high school graduate","32,895","±4,641","(X)","(X)","35,852","±5,619","(X)","(X)","27,730","±7,462","(X)","(X)"
"        High school graduate (includes equivalency)","40,587","±5,673","(X)","(X)","54,158","±5,897","(X)","(X)","32,717","±6,934","(X)","(X)"
"        Some college or associate's degree","45,966","±3,688","(X)","(X)","56,084","±3,581","(X)","(X)","37,006","±3,891","(X)","(X)"
"        Bachelor's degree","59,034","±6,401","(X)","(X)","67,450","±14,351","(X)","(X)","50,903","±11,007","(X)","(X)"
"        Graduate or professional degree","71,675","±12,097","(X)","(X)","73,569","±5,957","(X)","(X)","63,160","±29,595","(X)","(X)"
