"Label (Grouping)","ZCTA5 40243!!Total!!Estimate","ZCTA5 40243!!Total!!Margin of Error","ZCTA5 40243!!Percent!!Estimate","ZCTA5 40243!!Percent!!Margin of Error","ZCTA5 40243!!Male!!Estimate","ZCTA5 40243!!Male!!Margin of Error","ZCTA5 40243!!Percent Male!!Estimate","ZCTA5 40243!!Percent Male!!Margin of Error","ZCTA5 40243!!Female!!Estimate","ZCTA5 40243!!Female!!Margin of Error","ZCTA5 40243!!Percent Female!!Estimate","ZCTA5 40243!!Percent Female!!Margin of Error"
"        Bachelor's degree or higher","4,053","±407","53.2%","±4.2","2,082","±255","58.7%","±5.1","1,971","±274","48.3%","±5.4"
"    Black alone","679","±187","(X)","(X)","144","±95","(X)","(X)","535","±168","(X)","(X)"
"        High school graduate or higher","640","±170","94.3%","±7.1","114","±79","79.2%","±28.9","526","±167","98.3%","±3.2"
"        Bachelor's degree or higher","211","±125","31.1%","±16.2","49","±59","34.0%","±30.4","162","±106","30.3%","±18.0"
"    American Indian or Alaska Native alone","26","±31","(X)","(X)","10","±18","(X)","(X)","16","±26","(X)","(X)"
"        High school graduate or higher","16","±26","61.5%","±61.5","0","±20","0.0%","±100.0","16","±26","100.0%","±79.6"
"        Bachelor's degree or higher","0","±20","0.0%","±62.5","0","±20","0.0%","±100.0","0","±20","0.0%","±79.6"
"    Asian alone","305","±173","(X)","(X)","164","±100","(X)","(X)","141","±92","(X)","(X)"
"        High school graduate or higher","305","±173","100.0%","±11.6","164","±100","100.0%","±20.3","141","±92","100.0%","±23.1"
"        Bachelor's degree or higher","198","±149","64.9%","±26.5","95","±86","57.9%","±29.5","103","±82","73.0%","±31.5"
"    Native Hawaiian and Other Pacific Islander alone","0","±20","(X)","(X)","0","±20","(X)","(X)","0","±20","(X)","(X)"
"        High school graduate or higher","0","±20","-","**","0","±20","-","**","0","±20","-","**"
"        Bachelor's degree or higher","0","±20","-","**","0","±20","-","**","0","±20","-","**"
"    Some other race alone","1","±4","(X)","(X)","1","±4","(X)","(X)","0","±20","(X)","(X)"
"        High school graduate or higher","1","±4","100.0%","±100.0","1","±4","100.0%","±100.0","0","±20","-","**"
"        Bachelor's degree or higher","0","±20","0.0%","±100.0","0","±20","0.0%","±100.0","0","±20","-","**"
"    Two or more races","353","±149","(X)","(X)","187","±97","(X)","(X)","166","±79","(X)","(X)"
"        High school graduate or higher","345","±148","97.7%","±3.5","187","±97","100.0%","±18.1","158","±78","95.2%","±7.5"
"        Bachelor's degree or higher","154","±64","43.6%","±20.3","67","±43","35.8%","±22.5","87","±47","52.4%","±23.2"
"    Hispanic or Latino Origin","196","±122","(X)","(X)","103","±67","(X)","(X)","93","±69","(X)","(X)"
"        High school graduate or higher","196","±122","100.0%","±17.3","103","±67","100.0%","±29.6","93","±69","100.0%","±31.9"
"        Bachelor's degree or higher","75","±49","38.3%","±27.7","55","±39","53.4%","±34.6","20","±25","21.5%","±27.5"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","30.4%","±20.6","(X)","(X)","32.6%","±41.3","(X)","(X)","28.3%","±25.7"
"    High school graduate (includes equivalency)","(X)","(X)","4.5%","±3.3","(X)","(X)","0.0%","±6.1","(X)","(X)","7.7%","±5.2"
"    Some college or associate's degree","(X)","(X)","6.3%","±4.7","(X)","(X)","1.9%","±2.9","(X)","(X)","9.1%","±7.3"
"    Bachelor's degree or higher","(X)","(X)","3.7%","±2.1","(X)","(X)","2.2%","±2.2","(X)","(X)","5.2%","±3.5"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","59,832","±4,142","(X)","(X)","72,386","±9,590","(X)","(X)","42,105","±7,052","(X)","(X)"
"        Less than high school graduate","-","**","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)"
"        High school graduate (includes equivalency)","32,921","±6,863","(X)","(X)","54,531","±21,782","(X)","(X)","24,882","±7,434","(X)","(X)"
"        Some college or associate's degree","41,035","±10,049","(X)","(X)","58,723","±15,676","(X)","(X)","35,250","±16,239","(X)","(X)"
"        Bachelor's degree","71,875","±12,935","(X)","(X)","77,953","±6,302","(X)","(X)","58,884","±11,189","(X)","(X)"
"        Graduate or professional degree","83,801","±16,931","(X)","(X)","99,615","±9,758","(X)","(X)","64,911","±22,302","(X)","(X)"
